track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Bussin,54,Tay Money,44,Hurricane Tay,97297,spotify:track:2OBot5OpoT4deri6VkYCyW,0.858,0.519,0,-9.02,0,0.208,0.45,0.0,0.0884,0.752,148.087,audio_features,2OBot5OpoT4deri6VkYCyW,spotify:track:2OBot5OpoT4deri6VkYCyW,https://api.spotify.com/v1/tracks/2OBot5OpoT4deri6VkYCyW,https://api.spotify.com/v1/audio-analysis/2OBot5OpoT4deri6VkYCyW,97297,4,1001,"Tay Money ""Bussin (Whole Brand New)"" (Official Video)",taymoneyduh,165299232,880900,-4000,3PO_tkSZR28,2OBot5OpoT4deri6VkYCyW,6764220468040828930,1494394496,1494394488,NzyqkE4F6QiS
As It Was,92,Harry Styles,86,As It Was,167303,spotify:track:4LRPiXqCikLlN15c3yImP7,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,audio_features,4LRPiXqCikLlN15c3yImP7,spotify:track:4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7,https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7,167303,4,1002,Harry Styles - As It Was (Official Video),HSHQ,152207703,880800,1386,H5v3kku4y6Q,4LRPiXqCikLlN15c3yImP7,7081419672536500226,1615585008,1615584999,m6uWYfNhkIBX
Life Goes On,2,BTS,88,BE,207481,spotify:track:249gnXrbfmV8NG6jTEMSwD,0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,audio_features,249gnXrbfmV8NG6jTEMSwD,spotify:track:249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/tracks/249gnXrbfmV8NG6jTEMSwD,https://api.spotify.com/v1/audio-analysis/249gnXrbfmV8NG6jTEMSwD,207481,4,1003,BTS (방탄소년단) 'Life Goes On' Official MV,BTS,266449018,880326,-1774,-5q5mZbe3V8,249gnXrbfmV8NG6jTEMSwD,6896781102191478786,1596532189,1596532185,2wGKo2MvK1iY
สุดปัง,44,MILLI,50,สุดปัง,175500,spotify:track:0UAXp00Z2MKHnrFJCvcK7b,0.889,0.852,10,-3.672,1,0.17,0.0728,2.9e-06,0.554,0.594,136.101,audio_features,0UAXp00Z2MKHnrFJCvcK7b,spotify:track:0UAXp00Z2MKHnrFJCvcK7b,https://api.spotify.com/v1/tracks/0UAXp00Z2MKHnrFJCvcK7b,https://api.spotify.com/v1/audio-analysis/0UAXp00Z2MKHnrFJCvcK7b,175500,4,1005,MILLI - สุดปัง (Sudpang!) (Prod. by SPATCHIES) / ENG + TH SUB | YUPP!,MILLI,48643277,880264,248,bHbnedbt6G4,0UAXp00Z2MKHnrFJCvcK7b,6858156675430402050,1526747692,1526747690,rhLptSinvaOs
Monkeys Spinning Monkeys,0,Kevin MacLeod,51,Music to Delight,125074,spotify:track:1VsTvfmPwrJxIP5idldxX7,0.929,0.203,7,-18.004,1,0.146,0.901,0.803,0.11,0.91,144.053,audio_features,1VsTvfmPwrJxIP5idldxX7,spotify:track:1VsTvfmPwrJxIP5idldxX7,https://api.spotify.com/v1/tracks/1VsTvfmPwrJxIP5idldxX7,https://api.spotify.com/v1/audio-analysis/1VsTvfmPwrJxIP5idldxX7,125074,4,1006,Monkeys Spinning Monkeys,Good Morning Kevin & Kevin MacLeod,642933250,880170,10040,NPdgPZ0u3zQ,1VsTvfmPwrJxIP5idldxX7,6827446890867460097,1581990212,1581990211,3dkC19keF0WN
Happier,0,Marshmello,81,Best Workout Playlist,214289,spotify:track:01XvcEagr67SYKprUNxMvI,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.011,audio_features,01XvcEagr67SYKprUNxMvI,spotify:track:01XvcEagr67SYKprUNxMvI,https://api.spotify.com/v1/tracks/01XvcEagr67SYKprUNxMvI,https://api.spotify.com/v1/audio-analysis/01XvcEagr67SYKprUNxMvI,214290,4,1009,Marshmello ft. Bastille - Happier (Official Music Video),marshmello & Bastille,29766150,878200,-1900,m7Bc3pLyij0,01XvcEagr67SYKprUNxMvI,6591335864779934470,1424704480,1424703172,WLondHoZT9JN
Autobahn,72,SCH,70,Autobahn,170653,spotify:track:03o8WSqd2K5rkGvn9IsLy2,0.801,0.815,11,-6.861,1,0.108,0.00852,0.0203,0.313,0.629,140.013,audio_features,03o8WSqd2K5rkGvn9IsLy2,spotify:track:03o8WSqd2K5rkGvn9IsLy2,https://api.spotify.com/v1/tracks/03o8WSqd2K5rkGvn9IsLy2,https://api.spotify.com/v1/audio-analysis/03o8WSqd2K5rkGvn9IsLy2,170653,4,1010,SCH - Autobahn (Clip officiel),SCH,101297788,877500,-9500,pN-TLYBDkWc,03o8WSqd2K5rkGvn9IsLy2,7166947113392146433,,,SSyV8l2Wxns6
Candy,73,Doja Cat,83,Amala,190920,spotify:track:1VJwtWR6z7SpZRwipI12be,0.689,0.516,8,-5.857,1,0.0444,0.513,0.0,0.163,0.209,124.876,audio_features,1VJwtWR6z7SpZRwipI12be,spotify:track:1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/tracks/1VJwtWR6z7SpZRwipI12be,https://api.spotify.com/v1/audio-analysis/1VJwtWR6z7SpZRwipI12be,190920,4,1012,Doja Cat - Candy (Lyrics),Doja Cat,69055092,877300,-4050,evXtEixDn48,1VJwtWR6z7SpZRwipI12be,6755825984173280006,1453882722,1453882524,vpAv9oKvsc5D
A-O-K (Originally Performed by Tai Verdes) [Instrumental],0,Vox Freaks,27,A-O-K (Originally Performed by Tai Verdes) [Instrumental],167475,spotify:track:3meoUeVeTrQ5UgRaPAHUzn,0.734,0.409,11,-11.289,1,0.0701,0.24,0.941,0.12,0.489,82.889,audio_features,3meoUeVeTrQ5UgRaPAHUzn,spotify:track:3meoUeVeTrQ5UgRaPAHUzn,https://api.spotify.com/v1/tracks/3meoUeVeTrQ5UgRaPAHUzn,https://api.spotify.com/v1/audio-analysis/3meoUeVeTrQ5UgRaPAHUzn,167476,4,1013,A-O-K,tai verdes,391532142,877100,-4584,,3meoUeVeTrQ5UgRaPAHUzn,6953851540646709249,,,cSsx1WRM0XnE
Every Summertime,51,NIKI,72,Shang-Chi and The Legend of The Ten Rings: The Album,215666,spotify:track:06nIuUCXydh4DcVfFhJa4R,0.608,0.657,6,-4.251,1,0.0482,0.399,3.1e-05,0.0918,0.681,78.973,audio_features,06nIuUCXydh4DcVfFhJa4R,spotify:track:06nIuUCXydh4DcVfFhJa4R,https://api.spotify.com/v1/tracks/06nIuUCXydh4DcVfFhJa4R,https://api.spotify.com/v1/audio-analysis/06nIuUCXydh4DcVfFhJa4R,215667,4,1014,NIKI - Every Summertime (Official Video),NIKI,247187157,873500,-5542,a0OHkWX7B-E,06nIuUCXydh4DcVfFhJa4R,6995859258554189826,1579788063,1579788056,rFHxFsF32LFj
