track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
The Nights,42,Avicii,79,Stories,176658,spotify:track:0QjpQP1w7apeMXzioL8sqN,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,audio_features,0QjpQP1w7apeMXzioL8sqN,spotify:track:0QjpQP1w7apeMXzioL8sqN,https://api.spotify.com/v1/tracks/0QjpQP1w7apeMXzioL8sqN,https://api.spotify.com/v1/audio-analysis/0QjpQP1w7apeMXzioL8sqN,176658.0,4.0,201,Avicii - The Nights,Avicii,305488988,2800000,0,UtF6Jej8yb4,0QjpQP1w7apeMXzioL8sqN,6596848528763390721,1440829549,1440829274,6Rurx0sFxuEX
Bored In The House,52,Tyga,78,Bored In The House,174933,spotify:track:5OxveXfvga2t0se21d96Ow,0.928,0.372,1.0,-10.393,1.0,0.321,0.0202,9.6e-06,0.0948,0.732,112.458,audio_features,5OxveXfvga2t0se21d96Ow,spotify:track:5OxveXfvga2t0se21d96Ow,https://api.spotify.com/v1/tracks/5OxveXfvga2t0se21d96Ow,https://api.spotify.com/v1/audio-analysis/5OxveXfvga2t0se21d96Ow,174933.0,4.0,202,Tyga x Curtis Roach - Bored In The House (Official Video),curtistootrill,265979935,2800000,0,YBsPE6yHH9c,5OxveXfvga2t0se21d96Ow,6800281264655026950,1504900973,1504900824,nWU6h04tDrEy
Ooh Ahh (My Life Be Like) [feat. Tobymac],74,Grits,52,The Art of Translation,233173,spotify:track:1KBN9lYx9QkfUJC3NSXlhQ,0.757,0.862,2.0,-3.519,1.0,0.0696,0.115,0.000203,0.285,0.823,99.017,audio_features,1KBN9lYx9QkfUJC3NSXlhQ,spotify:track:1KBN9lYx9QkfUJC3NSXlhQ,https://api.spotify.com/v1/tracks/1KBN9lYx9QkfUJC3NSXlhQ,https://api.spotify.com/v1/audio-analysis/1KBN9lYx9QkfUJC3NSXlhQ,233173.0,4.0,203,Ooh Ahh (My Life Be Like) (feat. Tobymac),Grits,236894856,2800000,0,R9ESrQ_PvWc,1KBN9lYx9QkfUJC3NSXlhQ,6771640057083201538,1533118373,1533118364,LiuorHEL3Xr7
Hrs and Hrs,0,Muni Long,72,Public Displays Of Affection,204316,spotify:track:3xRH6FPVtheDyNla3T1FE7,0.511,0.525,8.0,-4.595,0.0,0.183,0.604,0.0,0.111,0.661,139.885,audio_features,3xRH6FPVtheDyNla3T1FE7,spotify:track:3xRH6FPVtheDyNla3T1FE7,https://api.spotify.com/v1/tracks/3xRH6FPVtheDyNla3T1FE7,https://api.spotify.com/v1/audio-analysis/3xRH6FPVtheDyNla3T1FE7,204317.0,3.0,204,Muni Long - Hrs & Hrs,Muni Long,244772049,2783325,226181,okfR_VIbXEQ,3xRH6FPVtheDyNla3T1FE7,7037059536640804866,1592385956,1592385694,lfGkKcAz6TFU
Get You The Moon (feat. Snøw),23,Kina,64,Summer Hits of the 10s,179072,spotify:track:4DrB86dzIS8enmtriiA28d,0.498,0.235,1.0,-16.541,0.0,0.188,0.72,0.0,0.144,0.0895,118.916,audio_features,4DrB86dzIS8enmtriiA28d,spotify:track:4DrB86dzIS8enmtriiA28d,https://api.spotify.com/v1/tracks/4DrB86dzIS8enmtriiA28d,https://api.spotify.com/v1/audio-analysis/4DrB86dzIS8enmtriiA28d,179073.0,4.0,205,Kina - Get You The Moon (Official Video) ft. Snøw,kinabeats,886840923,2700000,0,qnFcVpItds4,4DrB86dzIS8enmtriiA28d,6833934234948732941,1470415871,1470415863,rB81v4e6HuBk
Super Freaky x Luxurious - Remix,2,DJ Fronteo,60,Super Freaky x Luxurious,162312,spotify:track:3WpMpcM3rW6iVZcaxz5ohq,0.858,0.565,0.0,-13.611,1.0,0.128,0.279,0.0,0.347,0.94,133.005,audio_features,3WpMpcM3rW6iVZcaxz5ohq,spotify:track:3WpMpcM3rW6iVZcaxz5ohq,https://api.spotify.com/v1/tracks/3WpMpcM3rW6iVZcaxz5ohq,https://api.spotify.com/v1/audio-analysis/3WpMpcM3rW6iVZcaxz5ohq,162312.0,4.0,206,"Nicki Minaj, Gwen Stefani - Super Freaky Girl X Luxurious (TikTok Remix) Lyrics | he want a freak",xxtristanxo,458831037,2700000,0,-DiJ7bo6cn0,3WpMpcM3rW6iVZcaxz5ohq,7134869378033552171,,,TCdRH7XRvMjm
Memories (Drinks Bring Back),45,Ajay Stephens,26,Memories (Drinks Bring Back),123924,spotify:track:2Lxae4E83hZdR55WTH0OQC,0.843,0.6,0.0,-6.095,1.0,0.14,0.444,0.0,0.101,0.585,121.24,audio_features,2Lxae4E83hZdR55WTH0OQC,spotify:track:2Lxae4E83hZdR55WTH0OQC,https://api.spotify.com/v1/tracks/2Lxae4E83hZdR55WTH0OQC,https://api.spotify.com/v1/audio-analysis/2Lxae4E83hZdR55WTH0OQC,123925.0,5.0,207,Ajay Stevens - Memories (Drinks Bring Back),AJAY STEVENS 🇯🇲📍,415818372,2700000,0,RgU0PUEdqxA,2Lxae4E83hZdR55WTH0OQC,6747565474499823618,1483419528,1483419527,69aS7AENMpAX
Bipolar - Ao Vivo,30,Grupo Presença,54,Made In Funk 2 (Ao Vivo),142500,spotify:track:3EPcuhSGoYoiC5bGlqaCWR,0.593,0.783,9.0,-7.787,0.0,0.0397,0.536,0.0,0.815,0.873,147.879,audio_features,3EPcuhSGoYoiC5bGlqaCWR,spotify:track:3EPcuhSGoYoiC5bGlqaCWR,https://api.spotify.com/v1/tracks/3EPcuhSGoYoiC5bGlqaCWR,https://api.spotify.com/v1/audio-analysis/3EPcuhSGoYoiC5bGlqaCWR,142500.0,4.0,208,Pagode do Presença | Made in Funk 2 - Vou de Lalá / Coração Gelado 2 ( Mc Joãozinho VT  ),MC Davi & MC Don Juan,119605955,2700000,0,zMBUbfZzQ4c,3EPcuhSGoYoiC5bGlqaCWR,6948841318537841413,,,wzt2kVfbjr9p
WEST COAST CURE,35,10k.Caash,33,The Creator,121653,spotify:track:0vRa1EzwXx7b56uXsuctFU,0.866,0.447,2.0,-7.694,1.0,0.336,0.0412,0.0,0.0701,0.244,130.223,audio_features,0vRa1EzwXx7b56uXsuctFU,spotify:track:0vRa1EzwXx7b56uXsuctFU,https://api.spotify.com/v1/tracks/0vRa1EzwXx7b56uXsuctFU,https://api.spotify.com/v1/audio-analysis/0vRa1EzwXx7b56uXsuctFU,121653.0,4.0,209,10K.Caash - WEST COAST CURE (Audio),10k,118959402,2700000,0,Nb-_Z6-HAT0,0vRa1EzwXx7b56uXsuctFU,6754806263244212998,,,gYWrj4do4J72
Puck,0,Dyey Jennifer,0,Can't Stop Thinking About You,154833,spotify:track:32K3Y2CI29wo14O3hYUKFS,0.373,0.906,11.0,-9.382,1.0,0.0821,0.107,0.00451,0.379,0.188,125.268,audio_features,32K3Y2CI29wo14O3hYUKFS,spotify:track:32K3Y2CI29wo14O3hYUKFS,https://api.spotify.com/v1/tracks/32K3Y2CI29wo14O3hYUKFS,https://api.spotify.com/v1/audio-analysis/32K3Y2CI29wo14O3hYUKFS,154833.0,4.0,210,Bumpy Ride,Puck Eversdijk,94474146,2700000,0,,32K3Y2CI29wo14O3hYUKFS,6530930028010542095,,,WP0pYuL4HSaY
