track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Mari Kita Coba,28,Sisca Kohl,8,Mari Kita Coba,209777,spotify:track:6UOp1fqD31dn532qd1L9Ck,0.748,0.378,2.0,-8.734,1.0,0.0349,0.413,1.71e-06,0.111,0.598,134.916,audio_features,6UOp1fqD31dn532qd1L9Ck,spotify:track:6UOp1fqD31dn532qd1L9Ck,https://api.spotify.com/v1/tracks/6UOp1fqD31dn532qd1L9Ck,https://api.spotify.com/v1/audio-analysis/6UOp1fqD31dn532qd1L9Ck,209778.0,4.0,1202,Sisca Kohl - Mari Kita Coba (Official Music Video),Sisca Kohl,210242941,748204,21248,6usdtGZ-mzI,6UOp1fqD31dn532qd1L9Ck,7033231934239016961,,,XIsDSsId1FNt
Fantasy,47,Alina Baraz,63,Fantasy,218947,spotify:track:2tJVc52CEjcp4mkaWCz9RE,0.68,0.747,4.0,-6.056,0.0,0.091,0.353,0.0,0.138,0.331,113.933,audio_features,2tJVc52CEjcp4mkaWCz9RE,spotify:track:2tJVc52CEjcp4mkaWCz9RE,https://api.spotify.com/v1/tracks/2tJVc52CEjcp4mkaWCz9RE,https://api.spotify.com/v1/audio-analysis/2tJVc52CEjcp4mkaWCz9RE,218947.0,4.0,1203,Alina Baraz & Galimatias - Fantasy (Official Video),Alina Baraz / Galimatias,105553823,748200,1515,W3ebfGbeeyQ,2tJVc52CEjcp4mkaWCz9RE,6382847962594151170,1570384709,1570384536,EIf19OK3vXz0
Dissolve,66,Absofacto,49,Thousand Peaces,224660,spotify:track:7pBrj5rt4SSxXwFKOyZfHR,0.688,0.582,6.0,-10.668,0.0,0.0542,0.23,0.000157,0.0663,0.872,85.486,audio_features,7pBrj5rt4SSxXwFKOyZfHR,spotify:track:7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/tracks/7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/audio-analysis/7pBrj5rt4SSxXwFKOyZfHR,224661.0,4.0,1205,DISSOLVE (by Absofacto) | NITESHIFT,Absofacto Presents: NITESHIFT,37562711,747468,-2160,xe2FPP4lX14,7pBrj5rt4SSxXwFKOyZfHR,171552666731487232,1652367195,1652367190,4BWRkiBbKBGf
Bananza (Belly Dancer),26,DJ Challenge X,34,"TikTok Hits 2022, Vol. 3",183865,spotify:track:3IqeHySJjJV0MTa6X4qF3A,0.84,0.646,10.0,-6.25,0.0,0.166,0.0952,0.0,0.042,0.608,140.922,audio_features,3IqeHySJjJV0MTa6X4qF3A,spotify:track:3IqeHySJjJV0MTa6X4qF3A,https://api.spotify.com/v1/tracks/3IqeHySJjJV0MTa6X4qF3A,https://api.spotify.com/v1/audio-analysis/3IqeHySJjJV0MTa6X4qF3A,183866.0,4.0,1206,"Bananza (Belly Dancer) x Neon Park [TikTok Mashup] (Lyrics) ""Just wanna see you touch the ground""",puhrplehqze,339740514,747100,-5316,Jp2a6qkNPpE,3IqeHySJjJV0MTa6X4qF3A,7031905146435111686,,,eDgBkoC7zgVB
Old Town Road (feat. Billy Ray Cyrus) - Remix,3,Lil Nas X,76,Old Town Road,157066,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,0.878,0.619,6.0,-5.56,1.0,0.102,0.0533,0.0,0.113,0.639,136.041,audio_features,6u7jPi22kF8CTQ3rb9DHE7,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,https://api.spotify.com/v1/tracks/6u7jPi22kF8CTQ3rb9DHE7,https://api.spotify.com/v1/audio-analysis/6u7jPi22kF8CTQ3rb9DHE7,157067.0,4.0,1207,Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,lil nas x & Billy Ray Cyrus,110008578,746604,-196,r7qovpFAGrQ,6u7jPi22kF8CTQ3rb9DHE7,6683330941219244813,1458638381,1458638377,DXPDyopuAHxG
Oh Juliana,61,Niack,50,Oh Juliana,153077,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,0.799,0.568,6.0,-3.089,1.0,0.25,0.387,0.0,0.0892,0.963,129.63,audio_features,4xWzZmX4K1yyrdtRfbUvjt,spotify:track:4xWzZmX4K1yyrdtRfbUvjt,https://api.spotify.com/v1/tracks/4xWzZmX4K1yyrdtRfbUvjt,https://api.spotify.com/v1/audio-analysis/4xWzZmX4K1yyrdtRfbUvjt,153078.0,4.0,1208,MC Niack - Oh Juliana (kondzilla.com),MC Niack,21242466,746100,-3167,Tun92VU2OkU,4xWzZmX4K1yyrdtRfbUvjt,6842459970076822278,1522079112,1522079111,pa9RgLsjeOqM
Bismillah Cinta,45,Ungu,59,Bismillah Cinta,243551,spotify:track:42OdOz68Ti3lKXVNcHZtxb,0.578,0.523,9.0,-5.119,0.0,0.0302,0.305,0.0,0.108,0.371,108.006,audio_features,42OdOz68Ti3lKXVNcHZtxb,spotify:track:42OdOz68Ti3lKXVNcHZtxb,https://api.spotify.com/v1/tracks/42OdOz68Ti3lKXVNcHZtxb,https://api.spotify.com/v1/audio-analysis/42OdOz68Ti3lKXVNcHZtxb,243551.0,4.0,1211,Ungu & Lesti - Bismillah Cinta | Official Music Video,Ungu_Band & Lesti Kejora,36995694,744800,1850,na5rVR5SIFM,42OdOz68Ti3lKXVNcHZtxb,6942726589721364481,1560196193,1560196192,NRgcOytFb7Hf
Little Bitty Pretty One,59,Thurston Harris,42,Little Bitty Pretty One,143066,spotify:track:2yOXKIU9YtBSWjI3OA8tqj,0.703,0.883,8.0,1.085,1.0,0.241,0.777,2.02e-06,0.0562,0.887,88.351,audio_features,2yOXKIU9YtBSWjI3OA8tqj,spotify:track:2yOXKIU9YtBSWjI3OA8tqj,https://api.spotify.com/v1/tracks/2yOXKIU9YtBSWjI3OA8tqj,https://api.spotify.com/v1/audio-analysis/2yOXKIU9YtBSWjI3OA8tqj,143067.0,4.0,1215,Thurston Harris - Little Bitty Pretty One,Thurston Harris,215968085,741300,14500,B8j4mn4eF-c,2yOXKIU9YtBSWjI3OA8tqj,225831885501845504,328924175,328924034,SyIfVwRVaARB
Como Llora,63,Juanfran,47,Como Llora,187500,spotify:track:52zq2a71SGs3f1vJuv59ui,0.827,0.629,6.0,-3.966,0.0,0.185,0.183,0.0,0.084,0.486,88.064,audio_features,52zq2a71SGs3f1vJuv59ui,spotify:track:52zq2a71SGs3f1vJuv59ui,https://api.spotify.com/v1/tracks/52zq2a71SGs3f1vJuv59ui,https://api.spotify.com/v1/audio-analysis/52zq2a71SGs3f1vJuv59ui,187500.0,4.0,1216,JuanFran - Como llora (Video Oficial),Juanfran,47350183,741258,-608,vtCc5SJRa9c,52zq2a71SGs3f1vJuv59ui,6812863724227939078,1496349577,1496349301,XPl26KyqDmI3
Hamari Adhuri Kahani (Title Track),76,Jeet Gannguli,65,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),398799,spotify:track:3HiobOOpSpMsi95WBKPBYk,0.223,0.359,0.0,-7.569,1.0,0.0312,0.845,0.0,0.133,0.193,73.059,audio_features,3HiobOOpSpMsi95WBKPBYk,spotify:track:3HiobOOpSpMsi95WBKPBYk,https://api.spotify.com/v1/tracks/3HiobOOpSpMsi95WBKPBYk,https://api.spotify.com/v1/audio-analysis/3HiobOOpSpMsi95WBKPBYk,398799.0,4.0,1219,"Hamari Adhuri Kahani Title Track Video - Emraan Hashmi,Vidya Balan|Arijit Singh",The Dance Project,25954123,740348,13248,-fWejtOkCYs,3HiobOOpSpMsi95WBKPBYk,6631085142192425734,996456909,996456906,W5bXfUqWbcgM
