track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Nimet,60,Didomido,39,Nimet,136730,spotify:track:7p23uFZk2dnW0x7vGQMRhI,0.722,0.623,11,-5.687,0,0.0414,0.253,5.64e-06,0.191,0.363,129.898,audio_features,7p23uFZk2dnW0x7vGQMRhI,spotify:track:7p23uFZk2dnW0x7vGQMRhI,https://api.spotify.com/v1/tracks/7p23uFZk2dnW0x7vGQMRhI,https://api.spotify.com/v1/audio-analysis/7p23uFZk2dnW0x7vGQMRhI,136731,4,3601,DİDOMİDO feat. EGLO G  - NİMET,Didem,10477938,255100,-1016,idqdUopJazc,7p23uFZk2dnW0x7vGQMRhI,6855629495798745861,1526379839,1526379830,PCHWT36IFDtp
My Little Girl,58,Tim McGraw,71,McGRAW (The Ultimate Collection),218560,spotify:track:3dNhdwu8RcaVdrDZ1cAtzx,0.457,0.636,0,-3.41,1,0.0262,0.351,7.01e-06,0.111,0.238,144.686,audio_features,3dNhdwu8RcaVdrDZ1cAtzx,spotify:track:3dNhdwu8RcaVdrDZ1cAtzx,https://api.spotify.com/v1/tracks/3dNhdwu8RcaVdrDZ1cAtzx,https://api.spotify.com/v1/audio-analysis/3dNhdwu8RcaVdrDZ1cAtzx,218560,4,3602,My Little Girl,Tim McGraw,34930347,255050,1850,3cznXIXDlM4,3dNhdwu8RcaVdrDZ1cAtzx,6767430205171566593,1163445314,1163445221,dKkuR53npZbu
La Isla Bonita,67,Madonna,79,Celebration (double disc version),242946,spotify:track:2Iib2MV3ECFJAourgP9dlY,0.708,0.832,1,-4.736,0,0.0362,0.392,1.33e-06,0.0561,0.968,99.953,audio_features,2Iib2MV3ECFJAourgP9dlY,spotify:track:2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/tracks/2Iib2MV3ECFJAourgP9dlY,https://api.spotify.com/v1/audio-analysis/2Iib2MV3ECFJAourgP9dlY,242947,4,3604,Madonna - La Isla Bonita (Official Video),madonna,7432117,254836,11397,zpzdgmqIHOQ,2Iib2MV3ECFJAourgP9dlY,6704930903870670849,80815277,80815611,Tj1l4TyF9vOE
Young And Beautiful,68,Lana Del Rey,89,Music From Baz Luhrmann's Film The Great Gatsby (International Streaming Version),236426,spotify:track:6JF5OEqj3bIEdoBTkHVACm,0.321,0.416,11,-8.935,0,0.0343,0.266,3.02e-05,0.106,0.151,114.594,audio_features,6JF5OEqj3bIEdoBTkHVACm,spotify:track:6JF5OEqj3bIEdoBTkHVACm,https://api.spotify.com/v1/tracks/6JF5OEqj3bIEdoBTkHVACm,https://api.spotify.com/v1/audio-analysis/6JF5OEqj3bIEdoBTkHVACm,236427,4,3605,Lana Del Rey - Young and Beautiful,Lana Del Rey,85398283,254800,9520,o_1aF54DO60,6JF5OEqj3bIEdoBTkHVACm,250638177638723585,1440832246,1440832062,aUKE3t4PXlnp
La Modelo,0,Ozuna,86,La Modelo (feat. Cardi B),256551,spotify:track:2m2ZGfJcs3lHWNPzhWH3XH,0.822,0.743,1,-2.038,1,0.0451,0.213,0.0103,0.0957,0.78,98.005,audio_features,2m2ZGfJcs3lHWNPzhWH3XH,spotify:track:2m2ZGfJcs3lHWNPzhWH3XH,https://api.spotify.com/v1/tracks/2m2ZGfJcs3lHWNPzhWH3XH,https://api.spotify.com/v1/audio-analysis/2m2ZGfJcs3lHWNPzhWH3XH,256551,4,3606,Ozuna - La Modelo Ft Cardi B (Video Oficial),OZUNA,3524171,254800,484,X8sSXU-J8fI,2m2ZGfJcs3lHWNPzhWH3XH,313929872446373889,1433977219,1433976640,MEDB36NU5RBs
Opening,13,Julia Holter,32,Never Rarely Sometimes Always (Original Motion Picture Soundtrack),66559,spotify:track:24oXtImtUXDAn9KrZSbiqH,0.195,0.0156,0,-26.191,1,0.0477,0.626,0.939,0.0675,0.0341,70.769,audio_features,24oXtImtUXDAn9KrZSbiqH,spotify:track:24oXtImtUXDAn9KrZSbiqH,https://api.spotify.com/v1/tracks/24oXtImtUXDAn9KrZSbiqH,https://api.spotify.com/v1/audio-analysis/24oXtImtUXDAn9KrZSbiqH,66560,1,3607,som original,Julia,46252472,254600,-1400,,24oXtImtUXDAn9KrZSbiqH,6959723147331422982,1502196519,1502196211,iQhdpCpuPzlF
恭喜发财,13,MY ASTRO,20,天天好天好福气,179653,spotify:track:4SDiO7ffalpSPuxn8dXUwh,0.768,0.848,5,-2.397,0,0.0361,0.476,0.0,0.103,0.941,106.054,audio_features,4SDiO7ffalpSPuxn8dXUwh,spotify:track:4SDiO7ffalpSPuxn8dXUwh,https://api.spotify.com/v1/tracks/4SDiO7ffalpSPuxn8dXUwh,https://api.spotify.com/v1/audio-analysis/4SDiO7ffalpSPuxn8dXUwh,179653,4,3608,恭喜发财,MY ASTRO,20334135,254514,-918,14IZFXI6vKQ,4SDiO7ffalpSPuxn8dXUwh,6909510824226736130,,,tM48OIi5LVHo
No seas Celoso,49,Kim Loaiza,61,No seas Celoso,180843,spotify:track:6z0nw7pmCeOJVFBCaNKHKs,0.89,0.465,11,-7.714,0,0.0813,0.00843,0.00322,0.0387,0.532,102.976,audio_features,6z0nw7pmCeOJVFBCaNKHKs,spotify:track:6z0nw7pmCeOJVFBCaNKHKs,https://api.spotify.com/v1/tracks/6z0nw7pmCeOJVFBCaNKHKs,https://api.spotify.com/v1/audio-analysis/6z0nw7pmCeOJVFBCaNKHKs,180844,4,3609,Kim Loaiza - No seas celoso (Video Oficial),Kimberly Loaiza,49287651,254484,-757,m-QxD0vuABM,6z0nw7pmCeOJVFBCaNKHKs,6761759499809196033,,,r6JgN5A3tMY0
Talking to the Moon,2,Bruno Mars,86,All Time Pop Ballads,217866,spotify:track:0vIsM5T67HL3C9Nc1tnPNa,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,audio_features,0vIsM5T67HL3C9Nc1tnPNa,spotify:track:0vIsM5T67HL3C9Nc1tnPNa,https://api.spotify.com/v1/tracks/0vIsM5T67HL3C9Nc1tnPNa,https://api.spotify.com/v1/audio-analysis/0vIsM5T67HL3C9Nc1tnPNa,217867,4,3610,Talking to The Moon x The Night We Met (TikTok mashup),Ian Asher,214684367,254400,-1278,BgbK8G20kT0,0vIsM5T67HL3C9Nc1tnPNa,6945202282879699718,576670464,576670451,9bXaLdiRnoGR
Dernière danse,0,Indila,66,Mini World,213493,spotify:track:6fhApGZALHXQ5AMrUeQgI3,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,audio_features,6fhApGZALHXQ5AMrUeQgI3,spotify:track:6fhApGZALHXQ5AMrUeQgI3,https://api.spotify.com/v1/tracks/6fhApGZALHXQ5AMrUeQgI3,https://api.spotify.com/v1/audio-analysis/6fhApGZALHXQ5AMrUeQgI3,213493,4,3611,Indila - Dernière Danse (Clip Officiel),Indila,161263582,254358,3882,K5KAc5CoCuk,6fhApGZALHXQ5AMrUeQgI3,249620952257642496,1440830407,1440830382,XHYeZ5lCZq0h
Relación - Remix,75,Sech,79,Relación (Remix),247308,spotify:track:35UUpTmrcFXNIVIN26ujXl,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,audio_features,35UUpTmrcFXNIVIN26ujXl,spotify:track:35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/tracks/35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/audio-analysis/35UUpTmrcFXNIVIN26ujXl,247308,4,3612,"Sech, Daddy Yankee, J Balvin, Rosalía, Farruko - Relación Remix (Video Oficial)",J Balvin & La Rosalia & FARRU & SechMusic & daddyyankee,24367708,254344,363,XseIJg8Vyj0,35UUpTmrcFXNIVIN26ujXl,6868041834040395778,1529959308,1529959307,sarbPCKtzNN3
