track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Suave - Sped up,0,Eggspaghetti,16,Suave (Sped up),163143,spotify:track:15kFGQ92dL5964SB763Qeg,0.692,0.859,9,-4.008,1,0.0713,0.197,0.897,0.0986,0.716,156.709,audio_features,15kFGQ92dL5964SB763Qeg,spotify:track:15kFGQ92dL5964SB763Qeg,https://api.spotify.com/v1/tracks/15kFGQ92dL5964SB763Qeg,https://api.spotify.com/v1/audio-analysis/15kFGQ92dL5964SB763Qeg,163143,4,2401,El Alfa - Suave (TikTok Song/sped up) Letra/Lyrics,user92740072883,134720197,382900,-4200,YD3lBhHEdIA,15kFGQ92dL5964SB763Qeg,7062808665870519087,,,2XBDndssighT
Programs,67,Mac Miller,81,Programs,190186,spotify:track:1883mCuSqnfnrWoq8i3myH,0.88,0.569,10,-6.517,0,0.221,0.0809,5.82e-05,0.214,0.474,134.924,audio_features,1883mCuSqnfnrWoq8i3myH,spotify:track:1883mCuSqnfnrWoq8i3myH,https://api.spotify.com/v1/tracks/1883mCuSqnfnrWoq8i3myH,https://api.spotify.com/v1/audio-analysis/1883mCuSqnfnrWoq8i3myH,190187,4,2402,Mac Miller - Programs (Lyrics/Lyrics Video),Mac Miller,9704750,382825,-1009,PHpC8xwxFvA,1883mCuSqnfnrWoq8i3myH,6704932932563240962,1390131722,1390131558,SvQ0hNJwMGok
I'm Just a Kid,74,Simple Plan,66,"No Pads, No Helmets...Just Balls (15th Anniversary Tour Edition)",198333,spotify:track:6otiaV2fagE3s8IvP6WkwG,0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,audio_features,6otiaV2fagE3s8IvP6WkwG,spotify:track:6otiaV2fagE3s8IvP6WkwG,https://api.spotify.com/v1/tracks/6otiaV2fagE3s8IvP6WkwG,https://api.spotify.com/v1/audio-analysis/6otiaV2fagE3s8IvP6WkwG,198333,4,2403,Simple Plan - I'm Just A Kid (Official Video) [HD],Simple Plan,135576438,382818,-878,_GOR5gvQwDI,6otiaV2fagE3s8IvP6WkwG,6810553869026806534,1355149519,1355149359,jNghBtC5ez7k
Je te laisserai des mots,86,Patrick Watson,68,Je te laisserai des mots,160853,spotify:track:0V5cvmTKsYmF5FmGGEAfmS,0.303,0.187,2,-16.757,1,0.0356,0.989,0.489,0.101,0.213,132.731,audio_features,0V5cvmTKsYmF5FmGGEAfmS,spotify:track:0V5cvmTKsYmF5FmGGEAfmS,https://api.spotify.com/v1/tracks/0V5cvmTKsYmF5FmGGEAfmS,https://api.spotify.com/v1/audio-analysis/0V5cvmTKsYmF5FmGGEAfmS,160853,4,2404,Je te laisserai des mots,Patrick Watson,302890683,382700,6632,mcdO9UP0hp8,0V5cvmTKsYmF5FmGGEAfmS,6757082343317440514,884244564,884244557,XO4FSarODGfY
ゴーショーグン発進せよ (戦国魔人ゴーショーグン),19,Ichirou Mizuki,35,Golden Rules,184733,spotify:track:1dccFnIjTl3CWxH0W4MAWN,0.518,0.762,2,-8.104,1,0.121,0.22,6.77e-05,0.0486,0.693,156.325,audio_features,1dccFnIjTl3CWxH0W4MAWN,spotify:track:1dccFnIjTl3CWxH0W4MAWN,https://api.spotify.com/v1/tracks/1dccFnIjTl3CWxH0W4MAWN,https://api.spotify.com/v1/audio-analysis/1dccFnIjTl3CWxH0W4MAWN,184733,4,2405,Baby Remix,Brayheadwear,19671606,382600,-1160,,1dccFnIjTl3CWxH0W4MAWN,6929549060621765377,,,l4fg0tvE04Ac
HAKUNA MATATA,56,DAAZ,56,HAKUNA MATATA,193194,spotify:track:3ng2L0kqhH0Nsz9yVpbLlK,0.854,0.502,4,-7.498,0,0.424,0.257,0.0,0.32,0.964,80.059,audio_features,3ng2L0kqhH0Nsz9yVpbLlK,spotify:track:3ng2L0kqhH0Nsz9yVpbLlK,https://api.spotify.com/v1/tracks/3ng2L0kqhH0Nsz9yVpbLlK,https://api.spotify.com/v1/audio-analysis/3ng2L0kqhH0Nsz9yVpbLlK,193195,4,2407,"DAAZ - HAKUNA MATATA (feat. Homievaldes, Fano) (prod. Meny Mendez) (Video Oficial) #conquientejuntas",Daaz Oficial & EL FANO,17148279,382100,-1448,OwvXRQjvYiM,3ng2L0kqhH0Nsz9yVpbLlK,6712677696024873733,1474265018,1474265011,kV5ZDnT5PcAl
Every Kind Of Way,70,H.E.R.,72,H.E.R.,160173,spotify:track:0Aa3g9EQoPNt6PiKjaUeb7,0.416,0.298,7,-8.499,1,0.0442,0.635,2.16e-06,0.136,0.191,95.386,audio_features,0Aa3g9EQoPNt6PiKjaUeb7,spotify:track:0Aa3g9EQoPNt6PiKjaUeb7,https://api.spotify.com/v1/tracks/0Aa3g9EQoPNt6PiKjaUeb7,https://api.spotify.com/v1/audio-analysis/0Aa3g9EQoPNt6PiKjaUeb7,160173,4,2408,H.E.R. - Every Kind Of Way (Official Video),H.E.R.,244048918,381459,2689,Wn1FH9BS-Ic,0Aa3g9EQoPNt6PiKjaUeb7,6717175230852237314,1294890949,1294890052,4l6XcgWfz7Q4
Phir Bhi Dil Hai Hindustani,59,Jatin-Lalit,65,Phir Bhi Dil Hai Hindustani (Original Motion Picture Soundtrack),240613,spotify:track:1WX7IIJnUgpDaweRefaih0,0.658,0.877,7,-5.44,1,0.135,0.269,0.0,0.311,0.8,101.216,audio_features,1WX7IIJnUgpDaweRefaih0,spotify:track:1WX7IIJnUgpDaweRefaih0,https://api.spotify.com/v1/tracks/1WX7IIJnUgpDaweRefaih0,https://api.spotify.com/v1/audio-analysis/1WX7IIJnUgpDaweRefaih0,240613,4,2409,"Phir Bhi Dil Hai Hindustani | Title Track | Juhi Chawla, Shah Rukh Khan | Now Available in HD","Jatin-Lalit, Udit Narayan",4984913,381400,1680,T0-gnitn5Qs,1WX7IIJnUgpDaweRefaih0,6713882592015289093,,,ahQseVhKbX93
Devil Eyes,81,Hippie Sabotage,66,Providence,131271,spotify:track:7MiZjKawmXTsTNePyTfPyL,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,audio_features,7MiZjKawmXTsTNePyTfPyL,spotify:track:7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/tracks/7MiZjKawmXTsTNePyTfPyL,https://api.spotify.com/v1/audio-analysis/7MiZjKawmXTsTNePyTfPyL,131272,5,2411,Hippie Sabotage - Devil Eyes,Hippie Sabotage,139594698,381100,2717,Ywq6FMLbWH4,7MiZjKawmXTsTNePyTfPyL,6684784218439944193,1226646691,1226646377,A29YCBBOaksD
GALOPA,62,PEDRO SAMPAIO,66,GALOPA,140500,spotify:track:2wG1R0uDFwyobcWzVssC1J,0.763,0.85,1,-4.036,0,0.0409,0.285,0.0,0.104,0.77,150.009,audio_features,2wG1R0uDFwyobcWzVssC1J,spotify:track:2wG1R0uDFwyobcWzVssC1J,https://api.spotify.com/v1/tracks/2wG1R0uDFwyobcWzVssC1J,https://api.spotify.com/v1/audio-analysis/2wG1R0uDFwyobcWzVssC1J,140500,4,2412,PEDRO SAMPAIO - GALOPA,Pedro Sampaio,95267974,381000,-1885,mo1NcPxKfQU,2wG1R0uDFwyobcWzVssC1J,7007712946063181825,1585637746,1585637465,hkbwXUOIfjKB
