track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Azzzids - Original,0,SoundSAM,6,Azzzids (Original),455357,spotify:track:6F0cvCPiDJ51q7qhAfDxwy,0.789,0.573,10,-10.408,0,0.0823,0.00534,0.891,0.125,0.659,111.996,audio_features,6F0cvCPiDJ51q7qhAfDxwy,spotify:track:6F0cvCPiDJ51q7qhAfDxwy,https://api.spotify.com/v1/tracks/6F0cvCPiDJ51q7qhAfDxwy,https://api.spotify.com/v1/audio-analysis/6F0cvCPiDJ51q7qhAfDxwy,455357,4,3402,give me credit whores,Sam✨,23159603,270400,0,,6F0cvCPiDJ51q7qhAfDxwy,6827596374440200965,,,ZlxSzOLE9S1r
Fantasias,77,Rauw Alejandro,88,Fantasias,199711,spotify:track:6mAN61JH0dzyZpWslS11jy,0.879,0.703,1,-4.219,1,0.0701,0.143,0.0,0.0569,0.788,94.004,audio_features,6mAN61JH0dzyZpWslS11jy,spotify:track:6mAN61JH0dzyZpWslS11jy,https://api.spotify.com/v1/tracks/6mAN61JH0dzyZpWslS11jy,https://api.spotify.com/v1/audio-analysis/6mAN61JH0dzyZpWslS11jy,199711,4,3404,Rauw Alejandro ❌ Farruko - Fantasías (Video Oficial),rauwalejandro & FARRU,21505077,270300,-560,8jwbnGrX7-c,6mAN61JH0dzyZpWslS11jy,6730299344685107201,1476338343,1476338342,u2bCl35jz58J
Beh Ja Do Ghariyan Karan Gi,0,Azra Jehan,13,Bali Jatti (Original Motion Picture Soundtrack),310293,spotify:track:1fyRtdbimDdL3PfAnjvvPA,0.77,0.778,4,-4.516,1,0.0459,0.533,0.00224,0.0758,0.842,115.088,audio_features,1fyRtdbimDdL3PfAnjvvPA,spotify:track:1fyRtdbimDdL3PfAnjvvPA,https://api.spotify.com/v1/tracks/1fyRtdbimDdL3PfAnjvvPA,https://api.spotify.com/v1/audio-analysis/1fyRtdbimDdL3PfAnjvvPA,310293,4,3406,original sound,Karan Jat ,26079808,270000,0,,1fyRtdbimDdL3PfAnjvvPA,6632569748146096902,,,JYjAJRFpDSyo
לה ויטה א לונגה (החיים ארוכים),21,Shlomi Shaban,34,בית פתוח חלק א',274375,spotify:track:6IJFLKYUHssVADrJtCGZ92,0.666,0.873,7,-5.393,0,0.0581,0.0175,1.59e-06,0.362,0.352,121.244,audio_features,6IJFLKYUHssVADrJtCGZ92,spotify:track:6IJFLKYUHssVADrJtCGZ92,https://api.spotify.com/v1/tracks/6IJFLKYUHssVADrJtCGZ92,https://api.spotify.com/v1/audio-analysis/6IJFLKYUHssVADrJtCGZ92,274375,4,3407,original sound,Shalini Mishra784,9954957,269900,0,,6IJFLKYUHssVADrJtCGZ92,6604890338614053637,,,EuujoClVCPsI
Marigold,45,Caligula's Horse,37,Bloom,379746,spotify:track:4I5NcGVjREt60IThG2GGu9,0.28,0.928,2,-4.609,1,0.0678,8.24e-06,0.00255,0.293,0.0891,139.958,audio_features,4I5NcGVjREt60IThG2GGu9,spotify:track:4I5NcGVjREt60IThG2GGu9,https://api.spotify.com/v1/tracks/4I5NcGVjREt60IThG2GGu9,https://api.spotify.com/v1/audio-analysis/4I5NcGVjREt60IThG2GGu9,379747,4,3408,original sound,Mary 💌,329796799,269800,-1657,,4I5NcGVjREt60IThG2GGu9,6910331074501561089,,,ZdCGHSjM6Dja
บันทึกสีเขียว,30,เต้ I'm Jogging,16,บันทึกสีเขียว,188936,spotify:track:4QN5QYCFRJUYsOAxe19dGU,0.495,0.224,3,-13.174,1,0.0494,0.901,2.85e-06,0.378,0.398,94.135,audio_features,4QN5QYCFRJUYsOAxe19dGU,spotify:track:4QN5QYCFRJUYsOAxe19dGU,https://api.spotify.com/v1/tracks/4QN5QYCFRJUYsOAxe19dGU,https://api.spotify.com/v1/audio-analysis/4QN5QYCFRJUYsOAxe19dGU,188936,4,3409,เพลง: บันทึกสีเขียว - เต้ I’m Jogging,เต้ I'm Jogging,3766330,269700,6300,Hda9N8sU4Gw,4QN5QYCFRJUYsOAxe19dGU,6838891133070739458,1518740817,1518740808,pwc8aQb8KEvH
Pehle Ke Jaisa,34,Abhishekh Mishra,13,Jalebi (Original Motion Picture Soundtrack),272880,spotify:track:2Q5CIUxtJG9LntNVLBPv6v,0.521,0.377,0,-10.277,1,0.0288,0.852,1.31e-05,0.1,0.284,117.033,audio_features,2Q5CIUxtJG9LntNVLBPv6v,spotify:track:2Q5CIUxtJG9LntNVLBPv6v,https://api.spotify.com/v1/tracks/2Q5CIUxtJG9LntNVLBPv6v,https://api.spotify.com/v1/audio-analysis/2Q5CIUxtJG9LntNVLBPv6v,272881,3,3410,original sound - Abhishek Mishra,Abhishek Mishra,14368661,269700,-109,,2Q5CIUxtJG9LntNVLBPv6v,6799950521814878978,,,DSIG9LKjH8ju
Banii,17,Partizan,10,Am cu ce,312360,spotify:track:70bVsAYRwsF93uRlQFUo85,0.725,0.82,2,-3.283,0,0.0683,0.114,0.00421,0.0991,0.831,89.994,audio_features,70bVsAYRwsF93uRlQFUo85,spotify:track:70bVsAYRwsF93uRlQFUo85,https://api.spotify.com/v1/tracks/70bVsAYRwsF93uRlQFUo85,https://api.spotify.com/v1/audio-analysis/70bVsAYRwsF93uRlQFUo85,312360,4,3412,original sound,rits_badiani,11497686,269600,-65,,70bVsAYRwsF93uRlQFUo85,6678935456756927237,,,iYx3JKaPcFY1
Yang Tersayang,24,Imam S Arifin,31,Duet Sang Bintang,271853,spotify:track:5SapXSZyRhRbQKxii1BZ6t,0.645,0.699,10,-7.03,1,0.0312,0.0685,1.14e-05,0.285,0.812,142.908,audio_features,5SapXSZyRhRbQKxii1BZ6t,spotify:track:5SapXSZyRhRbQKxii1BZ6t,https://api.spotify.com/v1/tracks/5SapXSZyRhRbQKxii1BZ6t,https://api.spotify.com/v1/audio-analysis/5SapXSZyRhRbQKxii1BZ6t,271853,4,3413,Imam S Arifin - Yang Tersayang (Official Music Video),Imam S. Arifin & Nana Mardiana,1882448,269500,7200,cuc54lid6Gw,5SapXSZyRhRbQKxii1BZ6t,6703134269910288386,,,6pDtx7GBO3e0
MLEM MLEM,37,MIN,55,MLEM MLEM,218086,spotify:track:3ae1vbawLG43UHpuLDyX3N,0.981,0.692,9,-4.425,1,0.0469,0.0367,0.0,0.0756,0.803,114.986,audio_features,3ae1vbawLG43UHpuLDyX3N,spotify:track:3ae1vbawLG43UHpuLDyX3N,https://api.spotify.com/v1/tracks/3ae1vbawLG43UHpuLDyX3N,https://api.spotify.com/v1/audio-analysis/3ae1vbawLG43UHpuLDyX3N,218087,4,3414,MLEM MLEM | MIN X JUSTATEE X YUNO BIGBOI | OFFICIAL MUSIC VIDEO,MIN & Justatee & Yuno Bigboi,18277932,269400,1000,S7f24xceqSs,3ae1vbawLG43UHpuLDyX3N,6902717683230328834,,,zvy7V7jV1scv
