track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Beautiful People (feat. Khalid),77,Ed Sheeran,88,No.6 Collaborations Project,197866,spotify:track:70eFcWOvlMObDhURTqT4Fv,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,audio_features,70eFcWOvlMObDhURTqT4Fv,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197867,4,2201,Ed Sheeran - Beautiful People (feat. Khalid) [Official Music Video],Ed Sheeran & Khalid,35492371,417120,-560,mj0XInqZMHY,70eFcWOvlMObDhURTqT4Fv,6707497602985757446,1464549657,1464549183,G9vAk4Y8xtrH
Dj Salting,54,DJ Mbon Mbon,37,Dj Salting,271426,spotify:track:0qcX3RGz46G35JkQS157oN,0.846,0.933,10,-5.815,1,0.0487,0.0164,0.286,0.107,0.954,130.065,audio_features,0qcX3RGz46G35JkQS157oN,spotify:track:0qcX3RGz46G35JkQS157oN,https://api.spotify.com/v1/tracks/0qcX3RGz46G35JkQS157oN,https://api.spotify.com/v1/audio-analysis/0qcX3RGz46G35JkQS157oN,271426,4,2202,DJ SALTING - DJ MBON MBON,DJ Mbon Mbon,35942663,417020,-280,a_LwNXSlvE4,0qcX3RGz46G35JkQS157oN,7015423436423956481,1592832795,1592832794,PheDIpJtlkUx
LEYENDAS,1,KAROL G,87,Tirate esos prohibidos,352093,spotify:track:7FOwDBcfJ5LOfvgQPyGGLq,0.553,0.784,1,-5.458,1,0.114,0.0609,0.0,0.305,0.609,96.553,audio_features,7FOwDBcfJ5LOfvgQPyGGLq,spotify:track:7FOwDBcfJ5LOfvgQPyGGLq,https://api.spotify.com/v1/tracks/7FOwDBcfJ5LOfvgQPyGGLq,https://api.spotify.com/v1/audio-analysis/7FOwDBcfJ5LOfvgQPyGGLq,352093,4,2203,LEYENDAS,Nicky Jam & wisinyyandeloficial & WISIN & yandel & Karol G,45398748,417000,7906,VEAklVZnzno,7FOwDBcfJ5LOfvgQPyGGLq,6943628676818798593,1560072130,1560071303,i8gBLRer8WiE
Panah Asmara,65,Afgan,65,DEKADE,274539,spotify:track:2n5MdJ8bdz4QYOTdeZaBd5,0.749,0.764,8,-5.991,1,0.0474,0.0646,0.000158,0.0364,0.96,122.982,audio_features,2n5MdJ8bdz4QYOTdeZaBd5,spotify:track:2n5MdJ8bdz4QYOTdeZaBd5,https://api.spotify.com/v1/tracks/2n5MdJ8bdz4QYOTdeZaBd5,https://api.spotify.com/v1/audio-analysis/2n5MdJ8bdz4QYOTdeZaBd5,274540,4,2204,Panah Asmara,Afgan,156603320,416800,-350,Vno3jbfYZMk,2n5MdJ8bdz4QYOTdeZaBd5,6683285196105582597,1347847370,1347846837,hgkktAMfRpFj
Cure For Me,67,AURORA,70,Cure For Me,201640,spotify:track:7kEva2rxsNMn07fyfZMRRn,0.722,0.764,6,-5.86,0,0.0554,0.0933,1.82e-05,0.088,0.416,115.917,audio_features,7kEva2rxsNMn07fyfZMRRn,spotify:track:7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/tracks/7kEva2rxsNMn07fyfZMRRn,https://api.spotify.com/v1/audio-analysis/7kEva2rxsNMn07fyfZMRRn,201640,4,2205,AURORA - Cure For Me (Official Video),AURORA,192929896,416773,-3106,K17df81RL9Y,7kEva2rxsNMn07fyfZMRRn,6972521718712420354,1560277478,1560277262,uHpBJblDIIlV
Benediction,32,Dunsin Oyekan,47,The Birth of Revival,809693,spotify:track:2aS9WnLarRPsTSyzpzlGNU,0.311,0.728,11,-6.8,1,0.0432,0.0028,0.0,0.0967,0.247,86.204,audio_features,2aS9WnLarRPsTSyzpzlGNU,spotify:track:2aS9WnLarRPsTSyzpzlGNU,https://api.spotify.com/v1/tracks/2aS9WnLarRPsTSyzpzlGNU,https://api.spotify.com/v1/audio-analysis/2aS9WnLarRPsTSyzpzlGNU,809693,4,2206,original sound - SPTC🌟🎶🎧DUSAN_IS2022🎶🎧,🎧🎵🎸DUSAN🎸🎵🎧,8271906,416100,8408,,2aS9WnLarRPsTSyzpzlGNU,6926531688575093505,,,QEke4zcc5kF8
Filter,1,BTS,88,MAP OF THE SOUL : 7,180220,spotify:track:0ono6UCNVZ1XqOm6j78Blu,0.781,0.762,10,-5.188,0,0.0626,0.0222,0.0,0.121,0.86,110.042,audio_features,0ono6UCNVZ1XqOm6j78Blu,spotify:track:0ono6UCNVZ1XqOm6j78Blu,https://api.spotify.com/v1/tracks/0ono6UCNVZ1XqOm6j78Blu,https://api.spotify.com/v1/audio-analysis/0ono6UCNVZ1XqOm6j78Blu,180221,4,2207,BTS (방탄소년단) 'Filter' by Jimin FMV,BTS,114507731,415900,-1368,rQI5REp1gio,0ono6UCNVZ1XqOm6j78Blu,6795834365390620673,1599362859,1599362484,WBTYxFI0xZm0
Tak Ingin Usai,70,Keisya Levronka,63,Levronka,278500,spotify:track:0OHr74BS1CEwyZsyY9kml2,0.49,0.398,0,-7.712,1,0.0266,0.815,0.000187,0.114,0.136,129.772,audio_features,0OHr74BS1CEwyZsyY9kml2,spotify:track:0OHr74BS1CEwyZsyY9kml2,https://api.spotify.com/v1/tracks/0OHr74BS1CEwyZsyY9kml2,https://api.spotify.com/v1/audio-analysis/0OHr74BS1CEwyZsyY9kml2,278500,3,2208,Keisya Levronka - Tak Ingin Usai (Official Music Video),keisya levronka,222141661,415466,-268,_ZYvZ7XfQU4,0OHr74BS1CEwyZsyY9kml2,7094438108724201473,1622350712,1622350711,s0Is7MbCRpRp
prom dress,0,mxmtoon,62,prom dress,197933,spotify:track:0X3a2iLqyGMYi4g2WtUaXu,0.56,0.674,10,-6.048,1,0.0446,0.698,0.0,0.123,0.421,119.942,audio_features,0X3a2iLqyGMYi4g2WtUaXu,spotify:track:0X3a2iLqyGMYi4g2WtUaXu,https://api.spotify.com/v1/tracks/0X3a2iLqyGMYi4g2WtUaXu,https://api.spotify.com/v1/audio-analysis/0X3a2iLqyGMYi4g2WtUaXu,197933,4,2209,mxmtoon - prom dress (official video),mxmtoon,86148769,415390,-1748,AeUeLzBO0go,0X3a2iLqyGMYi4g2WtUaXu,6701156803654273797,1469937850,1469937715,ZWcX4O2y67RF
Coelhinho da Páscoa,40,Galinha Pintadinha,61,"Galinha Pintadinha, Vol. 3",109253,spotify:track:5VtIGNEiWSl80gHCKWl2tX,0.674,0.45,9,-9.612,1,0.0693,0.556,0.0,0.0887,0.97,187.132,audio_features,5VtIGNEiWSl80gHCKWl2tX,spotify:track:5VtIGNEiWSl80gHCKWl2tX,https://api.spotify.com/v1/tracks/5VtIGNEiWSl80gHCKWl2tX,https://api.spotify.com/v1/audio-analysis/5VtIGNEiWSl80gHCKWl2tX,109253,3,2210,Coelhinho da Páscoa - Galinha Pintadinha 3 - OFICIAL,Galinha Pintadinha,9382196,414800,-2100,AvTJ4kfD_Z0,5VtIGNEiWSl80gHCKWl2tX,6678944654022413058,1021371597,1021371062,n5ve9xLoGWSo
