track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
Doja,87,Central Cee,82,Doja,97392,spotify:track:3LtpKP5abr2qqjunvjlX5i,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,audio_features,3LtpKP5abr2qqjunvjlX5i,spotify:track:3LtpKP5abr2qqjunvjlX5i,https://api.spotify.com/v1/tracks/3LtpKP5abr2qqjunvjlX5i,https://api.spotify.com/v1/audio-analysis/3LtpKP5abr2qqjunvjlX5i,97393,4,2001,Central Cee - Doja (Directed by Cole Bennett),CentralCee,266405638,453100,-840,_VuJA-VQRcY,3LtpKP5abr2qqjunvjlX5i,7119098261067008002,1634523100,1634523099,4HGMnVFusGDB
Rumah Singgah,3,Fabio Asher,62,Rumah Singgah,246730,spotify:track:7th706Tw7ByAqOR9FMWXLg,0.418,0.229,8,-10.665,1,0.0322,0.723,0.0,0.107,0.363,78.144,audio_features,7th706Tw7ByAqOR9FMWXLg,spotify:track:7th706Tw7ByAqOR9FMWXLg,https://api.spotify.com/v1/tracks/7th706Tw7ByAqOR9FMWXLg,https://api.spotify.com/v1/audio-analysis/7th706Tw7ByAqOR9FMWXLg,246731,4,2002,FABIO ASHER - RUMAH SINGGAH (OFFICIAL MUSIC VIDEO),Fabio asher,130259871,453000,-1090,5k6IkftDRwE,7th706Tw7ByAqOR9FMWXLg,7084950135607658498,1618661291,1618661289,KJuFbbaGqIwJ
It's You,70,Sezairi,51,It's You,251440,spotify:track:7rdnB5DAyPbaj51TCQRcqW,0.63,0.456,8,-8.285,1,0.0317,0.545,0.0,0.114,0.166,137.915,audio_features,7rdnB5DAyPbaj51TCQRcqW,spotify:track:7rdnB5DAyPbaj51TCQRcqW,https://api.spotify.com/v1/tracks/7rdnB5DAyPbaj51TCQRcqW,https://api.spotify.com/v1/audio-analysis/7rdnB5DAyPbaj51TCQRcqW,251440,3,2003,Sezairi - It's You (Official Music Video),SEZAIRI,77805942,452800,7866,QZng89VxKWg,7rdnB5DAyPbaj51TCQRcqW,5000000001368980443,1368980443,1368980281,lPUsMOsrq650
Closer,54,The Chainsmokers,78,Collage EP,245506,spotify:track:7crMiinWx373rNBZBaVske,0.738,0.541,8,-5.597,1,0.0303,0.415,0.0,0.11,0.657,94.949,audio_features,7crMiinWx373rNBZBaVske,spotify:track:7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/audio-analysis/7crMiinWx373rNBZBaVske,245507,4,2006,The Chainsmokers - Closer (Official Video) ft. Halsey,The Chainsmokers,17710912,452600,72,0zGcUoRlhmw,7crMiinWx373rNBZBaVske,212131589504425984,1136768508,1136768287,AyXV1sy8642q
Я Буду Любить Тебя Всегда,34,Ahmed Shad,41,Я Буду Любить Тебя Всегда,154294,spotify:track:2sKE3E61kAhTergFiVVqqc,0.781,0.409,10,-9.003,0,0.073,0.49,0.0,0.229,0.462,119.847,audio_features,2sKE3E61kAhTergFiVVqqc,spotify:track:2sKE3E61kAhTergFiVVqqc,https://api.spotify.com/v1/tracks/2sKE3E61kAhTergFiVVqqc,https://api.spotify.com/v1/audio-analysis/2sKE3E61kAhTergFiVVqqc,154295,4,2007,Ahmedshad - Я буду любить тебя всегда (Дорога в никуда),Ahmedshad,15278309,452200,2240,35EiSTCF0DY,2sKE3E61kAhTergFiVVqqc,6872884084050233346,1531656674,1531656667,SG7aspL8HFAG
NI BIEN NI MAL,74,Bad Bunny,95,X 100PRE,236215,spotify:track:278kSqsZIiYp8p3QjYAqa8,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,audio_features,278kSqsZIiYp8p3QjYAqa8,spotify:track:278kSqsZIiYp8p3QjYAqa8,https://api.spotify.com/v1/tracks/278kSqsZIiYp8p3QjYAqa8,https://api.spotify.com/v1/audio-analysis/278kSqsZIiYp8p3QjYAqa8,236216,4,2009,BAD BUNNY - NI BIEN NI MAL | X100PRE (Video Oficial),Bad Bunny,11797953,451742,-1082,4oiZdbwxUuQ,278kSqsZIiYp8p3QjYAqa8,6643439712165661445,1447554607,1447554595,jzPuxWBaE2UR
Em Gì Ơi,0,Jack,31,Em Gì Ơi,246345,spotify:track:1tjtnnJvFr0sioIZ9cXewo,0.792,0.791,7,-8.206,0,0.036,0.0962,0.0,0.0792,0.742,128.034,audio_features,1tjtnnJvFr0sioIZ9cXewo,spotify:track:1tjtnnJvFr0sioIZ9cXewo,https://api.spotify.com/v1/tracks/1tjtnnJvFr0sioIZ9cXewo,https://api.spotify.com/v1/audio-analysis/1tjtnnJvFr0sioIZ9cXewo,246346,4,2010,EM GÌ ƠI | K-ICM x JACK | OFFICIAL MUSIC VIDEO,Nguyễn Bảo Khánh,11481194,451700,-466,cBClD7jylos,1tjtnnJvFr0sioIZ9cXewo,6746551049827500033,,,8uGujtyc8cM0
Money,0,Cardi B,78,Viral UK,183527,spotify:track:0WGgQlwOTgBb3yc2UMfbL8,0.95,0.59,8,-6.508,0,0.29,0.00534,0.0,0.11,0.219,130.004,audio_features,0WGgQlwOTgBb3yc2UMfbL8,spotify:track:0WGgQlwOTgBb3yc2UMfbL8,https://api.spotify.com/v1/tracks/0WGgQlwOTgBb3yc2UMfbL8,https://api.spotify.com/v1/audio-analysis/0WGgQlwOTgBb3yc2UMfbL8,183527,4,2011,Cardi B - Money [Official Music Video],Cardi B,68431062,451460,1060,zUOh09GoQgk,0WGgQlwOTgBb3yc2UMfbL8,6617669791106747141,1439777400,1439777399,VfzUGErPr2cH
A La Antigüita,79,Calibre 50,73,Vamos Bien,156266,spotify:track:798ahLNEcoFER7Vywg1FMT,0.651,0.726,8,-4.144,1,0.0539,0.382,0.0,0.0535,0.963,179.99,audio_features,798ahLNEcoFER7Vywg1FMT,spotify:track:798ahLNEcoFER7Vywg1FMT,https://api.spotify.com/v1/tracks/798ahLNEcoFER7Vywg1FMT,https://api.spotify.com/v1/audio-analysis/798ahLNEcoFER7Vywg1FMT,156267,3,2012,Calibre 50 - A La Antigüita,Calibre50Of,83400867,451000,232,hvNwhGDe1HM,798ahLNEcoFER7Vywg1FMT,6924868274807113730,1548780461,1548780196,TXy6V4xO8z0h
Sóng Gió,0,Jack,31,Sóng Gió,254094,spotify:track:5nbEQky9dG4f9XFrL4AAKH,0.662,0.719,2,-6.317,0,0.051,0.687,0.0,0.262,0.727,95.007,audio_features,5nbEQky9dG4f9XFrL4AAKH,spotify:track:5nbEQky9dG4f9XFrL4AAKH,https://api.spotify.com/v1/tracks/5nbEQky9dG4f9XFrL4AAKH,https://api.spotify.com/v1/audio-analysis/5nbEQky9dG4f9XFrL4AAKH,254094,4,2014,SÓNG GIÓ | K-ICM x JACK | OFFICIAL MUSIC VIDEO,Nguyễn Bảo Khánh,8025581,450762,-1168,j8U06veqxdU,5nbEQky9dG4f9XFrL4AAKH,6713074279820299009,1484847112,1484847099,4fULiyaUWBfJ
Coronavirus,32,iMarkkeyz,19,Coronavirus,154853,spotify:track:3ZLGYdkjnOMdzHr0bGCGs9,0.717,0.831,11,-3.878,0,0.203,0.000898,0.000185,0.854,0.821,83.986,audio_features,3ZLGYdkjnOMdzHr0bGCGs9,spotify:track:3ZLGYdkjnOMdzHr0bGCGs9,https://api.spotify.com/v1/tracks/3ZLGYdkjnOMdzHr0bGCGs9,https://api.spotify.com/v1/audio-analysis/3ZLGYdkjnOMdzHr0bGCGs9,154854,4,2015,iMarkkeyz - Coronavirus (Feat. Cardi B) [Audio],iMarkkeyz,89747787,450750,-2150,iiYDSOQPPhY,3ZLGYdkjnOMdzHr0bGCGs9,6804334899781175298,,,RJNZ51SNhebv
Bheegi Si Bhaagi Si,62,Pritam,85,Raajneeti (Original Motion Picture Soundtrack),278093,spotify:track:665b3Nss3OQmhTUdB5hBXw,0.564,0.867,8,-6.21,1,0.121,0.361,0.0,0.262,0.815,88.919,audio_features,665b3Nss3OQmhTUdB5hBXw,spotify:track:665b3Nss3OQmhTUdB5hBXw,https://api.spotify.com/v1/tracks/665b3Nss3OQmhTUdB5hBXw,https://api.spotify.com/v1/audio-analysis/665b3Nss3OQmhTUdB5hBXw,278093,4,2016,"Bheegi Si Bhaagi Si Full Video - Raajneeti|Ranbir,Katrina|Mohit Chauhan, Antara M|Pritam",Pritam & Mohit Chauhan & Antara Mitra,14573947,450500,8400,yHWPO9DDnsk,665b3Nss3OQmhTUdB5hBXw,226189516070469632,372673438,372673294,Gw4sURCewfLz
