track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
It's Not The Same Anymore,67,Rex Orange County,73,Pony,386200,spotify:track:7vRia9rlEuTDQxkfXIKySi,0.666,0.317,5,-10.644,1,0.0327,0.873,3.74e-05,0.111,0.359,117.676,audio_features,7vRia9rlEuTDQxkfXIKySi,spotify:track:7vRia9rlEuTDQxkfXIKySi,https://api.spotify.com/v1/tracks/7vRia9rlEuTDQxkfXIKySi,https://api.spotify.com/v1/audio-analysis/7vRia9rlEuTDQxkfXIKySi,386200,4,3802,Rex Orange County - It's Not The Same Anymore (Official Audio),rex orange county,124778313,241300,-1312,YMe0Fi9OzS8,7vRia9rlEuTDQxkfXIKySi,6750696538244139010,1480410858,1480410681,LKjBti1PiPT0
The Loser,0,Zach Farache,31,Fatigue,131657,spotify:track:3u0kNxqOOC8SdoODpkmoZO,0.608,0.295,1,-10.744,1,0.194,0.468,0.278,0.324,0.147,120.584,audio_features,3u0kNxqOOC8SdoODpkmoZO,spotify:track:3u0kNxqOOC8SdoODpkmoZO,https://api.spotify.com/v1/tracks/3u0kNxqOOC8SdoODpkmoZO,https://api.spotify.com/v1/audio-analysis/3u0kNxqOOC8SdoODpkmoZO,131657,4,3803,The Loser,Verzache,143025722,241150,-1000,BE7H6FjioaA,3u0kNxqOOC8SdoODpkmoZO,6872951025943284486,1533327255,1533327252,n1Z4xjOaLcAi
Matatan,0,Kaleb Di Masi,60,Matatan,159077,spotify:track:7m2iTdEKAtiGULWnTIRhX2,0.88,0.729,0,-7.741,1,0.42,0.184,0.00247,0.102,0.622,85.996,audio_features,7m2iTdEKAtiGULWnTIRhX2,spotify:track:7m2iTdEKAtiGULWnTIRhX2,https://api.spotify.com/v1/tracks/7m2iTdEKAtiGULWnTIRhX2,https://api.spotify.com/v1/audio-analysis/7m2iTdEKAtiGULWnTIRhX2,159077,4,3804,MATATAN - Kaleb Di Masi By (Gz Produce),Alan Gomez & KALEB DI MASI,208663075,241140,-1142,JHplhUCB17w,7m2iTdEKAtiGULWnTIRhX2,6968857200007137282,1598182957,1598182929,CHMOyDRcOg76
Wrap Me In Plastic - Slowed Down Version,49,CHROMANCE,46,Wrap Me In Plastic,147577,spotify:track:74PdooqFwI8VhklmayQ7dz,0.94,0.616,0,-3.153,0,0.0936,0.225,0.0,0.13,0.535,131.294,audio_features,74PdooqFwI8VhklmayQ7dz,spotify:track:74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/tracks/74PdooqFwI8VhklmayQ7dz,https://api.spotify.com/v1/audio-analysis/74PdooqFwI8VhklmayQ7dz,147578,4,3805,Wrap Me In Plastic (Slowed Down Version),Marcus Layton,19097785,241100,-1000,vvfBF9bt29g,74PdooqFwI8VhklmayQ7dz,6883913463777740802,,,ovSFRldDe7Gz
Jolie madame (feat. Ronisia),55,Joé Dwèt Filé,60,Jolie madame (feat. Ronisia),185093,spotify:track:2uj7OACDZUQIvAfKAwtHES,0.754,0.563,1,-6.468,1,0.0601,0.289,0.0,0.109,0.914,160.029,audio_features,2uj7OACDZUQIvAfKAwtHES,spotify:track:2uj7OACDZUQIvAfKAwtHES,https://api.spotify.com/v1/tracks/2uj7OACDZUQIvAfKAwtHES,https://api.spotify.com/v1/audio-analysis/2uj7OACDZUQIvAfKAwtHES,185093,4,3806,Joé Dwèt Filé - Jolie madame (Clip officiel) ft. Ronisia,JOÉ DWET FILÉ & Ronisia,15148971,240900,2500,YDrQMHYLtN0,2uj7OACDZUQIvAfKAwtHES,6946918909702490885,1561013033,1561013032,7KG4QQAaNy2C
Who - Original Mix,0,Tujamo,61,Who,332160,spotify:track:5FazEiqizYEPMTtREwipKG,0.883,0.864,7,-6.543,1,0.063,0.00085,0.833,0.341,0.215,124.996,audio_features,5FazEiqizYEPMTtREwipKG,spotify:track:5FazEiqizYEPMTtREwipKG,https://api.spotify.com/v1/tracks/5FazEiqizYEPMTtREwipKG,https://api.spotify.com/v1/audio-analysis/5FazEiqizYEPMTtREwipKG,332160,4,3808,Tujamo & Plastik Funk - WHO (Spinnin' Radio Edit),tujamoofficial,4131506,240700,72,i7OaDY8gFk8,5FazEiqizYEPMTtREwipKG,6434371457404701442,,,cadD2FUcBmcI
Festa na Roça,49,Mastruz Com Leite,55,São João na Roça,195493,spotify:track:16uunPifQ7bXGSosDZ2X5e,0.911,0.695,2,-7.143,1,0.0402,0.0192,0.00548,0.0404,0.968,137.655,audio_features,16uunPifQ7bXGSosDZ2X5e,spotify:track:16uunPifQ7bXGSosDZ2X5e,https://api.spotify.com/v1/tracks/16uunPifQ7bXGSosDZ2X5e,https://api.spotify.com/v1/audio-analysis/16uunPifQ7bXGSosDZ2X5e,195493,4,3809,Festa na Roça,Mastruz com Leite,19588907,240600,2575,n00lvonaS0g,16uunPifQ7bXGSosDZ2X5e,6769745746104322049,1627098748,1627098747,vDfxb0Soj71h
Favela,41,MC Cabelinho,76,Favela,210909,spotify:track:35BgOIy3nEkEOsIAu6A0aV,0.688,0.669,4,-7.368,0,0.117,0.432,0.0,0.613,0.501,132.118,audio_features,35BgOIy3nEkEOsIAu6A0aV,spotify:track:35BgOIy3nEkEOsIAu6A0aV,https://api.spotify.com/v1/tracks/35BgOIy3nEkEOsIAu6A0aV,https://api.spotify.com/v1/audio-analysis/35BgOIy3nEkEOsIAu6A0aV,210909,4,3810,MC Cabelinho part. Filipe Ret - Favela (Prod. Dallass) CLIPE OFICIAL,Filipe Ret,70007944,240528,-1607,kBXYe2NGngI,35BgOIy3nEkEOsIAu6A0aV,6928242697874458625,1562740245,1562740155,9Nz8Zd6veFTM
Cupid's Chokehold / Breakfast in America,78,Gym Class Heroes,67,The Papercut Chronicles,243773,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,audio_features,2Lhdl74nwwVGOE2Gv35QuK,spotify:track:2Lhdl74nwwVGOE2Gv35QuK,https://api.spotify.com/v1/tracks/2Lhdl74nwwVGOE2Gv35QuK,https://api.spotify.com/v1/audio-analysis/2Lhdl74nwwVGOE2Gv35QuK,243773,4,3811,Gym Class Heroes: Cupid's Chokehold ft. Patrick Stump [OFFICIAL VIDEO],Gym Class Heroes & Travie McCoy,145136438,240500,-1466,eiiU-Fky18s,2Lhdl74nwwVGOE2Gv35QuK,225511965706571776,252683882,252683683,YghccMrlNAuR
Better Days,0,Dermot Kennedy,72,Better Days,198221,spotify:track:2vCKQ9NNCTXoAF8ltW0Zv9,0.68,0.553,0,-7.116,1,0.042,0.409,0.0,0.0847,0.352,99.999,audio_features,2vCKQ9NNCTXoAF8ltW0Zv9,spotify:track:2vCKQ9NNCTXoAF8ltW0Zv9,https://api.spotify.com/v1/tracks/2vCKQ9NNCTXoAF8ltW0Zv9,https://api.spotify.com/v1/audio-analysis/2vCKQ9NNCTXoAF8ltW0Zv9,198221,4,3813,Dermot Kennedy - Better Days (Official Music Video),Dermot Kennedy,65150636,240400,-1680,3gqbE9jDI1g,2vCKQ9NNCTXoAF8ltW0Zv9,7019803608694672134,1577392080,1577392079,pXVabJUfWCIQ
Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack,71,Meryl Streep,64,Mamma Mia! The Movie Soundtrack,230893,spotify:track:1QRKeAlaLqJUeCWMBRP20A,0.463,0.489,2,-7.968,1,0.0288,0.507,0.0,0.165,0.249,140.034,audio_features,1QRKeAlaLqJUeCWMBRP20A,spotify:track:1QRKeAlaLqJUeCWMBRP20A,https://api.spotify.com/v1/tracks/1QRKeAlaLqJUeCWMBRP20A,https://api.spotify.com/v1/audio-analysis/1QRKeAlaLqJUeCWMBRP20A,230893,4,3816,Slipping Through My Fingers (From 'Mamma Mia!' Original Motion Picture Soundtrack),Meryl Streep & Amanda Seyfried,370148496,240282,2608,RF9wHFw3kTw,1QRKeAlaLqJUeCWMBRP20A,6937057524285720578,1440769022,1440767912,IhFVuBZdkQe8
KICK BACK,51,Kenshi Yonezu,72,KICK BACK,193493,spotify:track:5PA3UIrEhG16UoQIj1fvlw,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,5PA3UIrEhG16UoQIj1fvlw,spotify:track:5PA3UIrEhG16UoQIj1fvlw,https://api.spotify.com/v1/tracks/5PA3UIrEhG16UoQIj1fvlw,https://api.spotify.com/v1/audio-analysis/5PA3UIrEhG16UoQIj1fvlw,193493,4,3817,米津玄師 Kenshi Yonezu - KICKBACK,米津玄師　ハチ,130050389,240236,197,M2cckDmNLMI,5PA3UIrEhG16UoQIj1fvlw,7150602133753055233,1648272180,1648272179,k75aT55XN7Lz
Life Is Good (feat. Drake),75,Future,87,High Off Life,237918,spotify:track:1K5KBOgreBi5fkEHvg5ap3,0.795,0.574,2,-6.903,0,0.487,0.067,0.0,0.15,0.537,142.053,audio_features,1K5KBOgreBi5fkEHvg5ap3,spotify:track:1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/tracks/1K5KBOgreBi5fkEHvg5ap3,https://api.spotify.com/v1/audio-analysis/1K5KBOgreBi5fkEHvg5ap3,237918,4,3818,Future - Life Is Good (Official Music Video) ft. Drake,plutoouttahere,46130582,240000,1286,l0U7SxXHkPY,1K5KBOgreBi5fkEHvg5ap3,6780014794633136129,1493865024,1493864494,PnhvqC332Evt
Lâu Không Cười,37,Phạm Nguyên Ngọc,42,Lâu Không Cười,326307,spotify:track:5Ol16Ziqsy902R0oVgqzaP,0.466,0.376,4,-15.349,0,0.0552,0.936,0.757,0.0984,0.31,129.892,audio_features,5Ol16Ziqsy902R0oVgqzaP,spotify:track:5Ol16Ziqsy902R0oVgqzaP,https://api.spotify.com/v1/tracks/5Ol16Ziqsy902R0oVgqzaP,https://api.spotify.com/v1/audio-analysis/5Ol16Ziqsy902R0oVgqzaP,326308,4,3819,Gửi Vợ Tương Lai #4,"KayDee, Long Nón Lá",33100760,240000,-2050,,5Ol16Ziqsy902R0oVgqzaP,6983895807929994010,1615351362,1615351360,K9QvEddSnAP3
In My Head,77,Lil Tjay,80,In My Head,135264,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,0.684,0.545,1,-6.885,1,0.121,0.159,0.0,0.102,0.407,143.049,audio_features,1HvTxgCj0mTzQlEo0zLvFb,spotify:track:1HvTxgCj0mTzQlEo0zLvFb,https://api.spotify.com/v1/tracks/1HvTxgCj0mTzQlEo0zLvFb,https://api.spotify.com/v1/audio-analysis/1HvTxgCj0mTzQlEo0zLvFb,135264,4,3820,Lil Tjay - In My Head (Official Video),Lil Tjay,63765679,239708,7217,sLq_DOW5HcM,1HvTxgCj0mTzQlEo0zLvFb,7073489854000024362,1613977158,1613977157,JyuwI5ljQqDG
Él Lo Tiene Todo,66,Yuridia,71,Él Lo Tiene Todo,214081,spotify:track:5AV4sa9x9Qt3CYUIUbUadZ,0.576,0.626,4,-4.774,1,0.0265,0.575,0.0,0.121,0.225,139.944,audio_features,5AV4sa9x9Qt3CYUIUbUadZ,spotify:track:5AV4sa9x9Qt3CYUIUbUadZ,https://api.spotify.com/v1/tracks/5AV4sa9x9Qt3CYUIUbUadZ,https://api.spotify.com/v1/audio-analysis/5AV4sa9x9Qt3CYUIUbUadZ,214082,4,3821,Yuridia - Él Lo Tiene Todo,YURIDIA,10045938,239638,2568,tuhxZytmhss,5AV4sa9x9Qt3CYUIUbUadZ,6860246467978758146,,,s6IXNapY8d5I
24 (Main Theme),2,TV Sounds Unlimited,33,Best Tv Soundtracks of All Times,279000,spotify:track:6OaDFLp2D6QOUxehMRGxgm,0.322,0.624,2,-11.33,0,0.0438,0.176,0.686,0.108,0.0465,123.278,audio_features,6OaDFLp2D6QOUxehMRGxgm,spotify:track:6OaDFLp2D6QOUxehMRGxgm,https://api.spotify.com/v1/tracks/6OaDFLp2D6QOUxehMRGxgm,https://api.spotify.com/v1/audio-analysis/6OaDFLp2D6QOUxehMRGxgm,279000,4,3822,INTÉGRAL PRIME 5 SEN P'TIT GALLE ALLSTARS SAISON 2,Official Sound Studio,27216633,239600,4856,VfPzqS32nR8,6OaDFLp2D6QOUxehMRGxgm,6752711871553372171,853051560,853051534,q0JfruibhaOA
Dancin - Krono Remix,79,Aaron Smith,63,Ibiza 2019,256000,spotify:track:4IlqQhaxrGPxmg35YcXXuS,0.751,0.727,10,-9.789,0,0.0304,0.0442,0.0338,0.1,0.28,119.982,audio_features,4IlqQhaxrGPxmg35YcXXuS,spotify:track:4IlqQhaxrGPxmg35YcXXuS,https://api.spotify.com/v1/tracks/4IlqQhaxrGPxmg35YcXXuS,https://api.spotify.com/v1/audio-analysis/4IlqQhaxrGPxmg35YcXXuS,256000,4,3823,Aaron Smith - Dancin - Krono Remix (Official Video) ft. Luvli,Aaron Smith & Krono,28267141,239600,-560,6Nb-prB-4P0,4IlqQhaxrGPxmg35YcXXuS,251761564184195072,1482706526,1482706315,JEg1mgroedJz
Aashiyan,60,Pritam,85,Barfi! (Original Motion Picture Soundtrack),236373,spotify:track:7ttlemwytO21npSmLKqTBg,0.829,0.622,10,-7.293,1,0.0518,0.293,2.8e-06,0.167,0.775,131.971,audio_features,7ttlemwytO21npSmLKqTBg,spotify:track:7ttlemwytO21npSmLKqTBg,https://api.spotify.com/v1/tracks/7ttlemwytO21npSmLKqTBg,https://api.spotify.com/v1/audio-analysis/7ttlemwytO21npSmLKqTBg,236373,4,3825,Aashiyan - Full Song HD - Nikhil Paul George & Shreya Ghoshal - Barfi,Pritam & Shreya Ghoshal & Nikhil Paul George,2572886,239308,3017,uz5zEI5WkKg,7ttlemwytO21npSmLKqTBg,250410148710756352,554641154,554640982,fyZoXzJjiZWA
Lean On (feat. MØ & DJ Snake),80,Major Lazer,73,Peace Is The Mission : Extended,176561,spotify:track:2YWjW3wwQIBLNhxWKBQd16,0.723,0.809,7,-3.081,0,0.0625,0.00346,0.00123,0.565,0.274,98.007,audio_features,2YWjW3wwQIBLNhxWKBQd16,spotify:track:2YWjW3wwQIBLNhxWKBQd16,https://api.spotify.com/v1/tracks/2YWjW3wwQIBLNhxWKBQd16,https://api.spotify.com/v1/audio-analysis/2YWjW3wwQIBLNhxWKBQd16,176561,4,3827,Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),MAJORLAZER & DJ Snake & MØ,7260517,239248,-487,YqeW9_5kURI,2YWjW3wwQIBLNhxWKBQd16,6456653616601107214,1056418396,1056418024,cTBcpl4ZAQ5H
Pillow,39,Bebe Rexha,79,Expectations,216466,spotify:track:5MrNSHoWvFKjBQ7TRMkp9I,0.622,0.476,6,-8.943,0,0.0378,0.133,0.0,0.269,0.213,77.023,audio_features,5MrNSHoWvFKjBQ7TRMkp9I,spotify:track:5MrNSHoWvFKjBQ7TRMkp9I,https://api.spotify.com/v1/tracks/5MrNSHoWvFKjBQ7TRMkp9I,https://api.spotify.com/v1/audio-analysis/5MrNSHoWvFKjBQ7TRMkp9I,216467,4,3828,Bebe Rexha - 'Pillow' (Official Lyric Video),BebeRexha,765182,239210,-492,N5LmuJtttsU,5MrNSHoWvFKjBQ7TRMkp9I,6574207115542399746,1622158582,1622158289,H2vzb0ALaYG2
3ach9ek Criminel,51,Djalil Palermo,48,3ach9ek Criminel,172000,spotify:track:6Y3hqLC16tJUEI4PDsusoT,0.593,0.637,10,-8.613,0,0.0899,0.115,0.0,0.0971,0.37,77.55,audio_features,6Y3hqLC16tJUEI4PDsusoT,spotify:track:6Y3hqLC16tJUEI4PDsusoT,https://api.spotify.com/v1/tracks/6Y3hqLC16tJUEI4PDsusoT,https://api.spotify.com/v1/audio-analysis/6Y3hqLC16tJUEI4PDsusoT,172000,4,3829,Djalil Palermo - 3ach9ek Criminel (Official Music Video),ZAX STUDIO,10180769,239200,650,nUjAVpgfA24,6Y3hqLC16tJUEI4PDsusoT,6925492243281217537,1551611477,1551611472,aOzT2mHlWP16
Some,75,BOL4,60,Red Diary Page.1,181373,spotify:track:3jsYQw78lrxJA2ysnmOIf9,0.659,0.799,1,-2.849,0,0.0629,0.417,0.0,0.0562,0.782,103.991,audio_features,3jsYQw78lrxJA2ysnmOIf9,spotify:track:3jsYQw78lrxJA2ysnmOIf9,https://api.spotify.com/v1/tracks/3jsYQw78lrxJA2ysnmOIf9,https://api.spotify.com/v1/audio-analysis/3jsYQw78lrxJA2ysnmOIf9,181373,4,3830,[MV] BOL4(볼빨간사춘기) _ Some(썸 탈꺼야),BOL4,92447897,239100,-570,hZmoMyFXDoI,3jsYQw78lrxJA2ysnmOIf9,7010954449912990470,1550029641,1550029640,LHRQCjiLmzhY
Gasolina,88,Daddy Yankee,86,Barrio Fino (Bonus Track Version),192600,spotify:track:228BxWXUYQPJrJYHDLOHkj,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,audio_features,228BxWXUYQPJrJYHDLOHkj,spotify:track:228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/tracks/228BxWXUYQPJrJYHDLOHkj,https://api.spotify.com/v1/audio-analysis/228BxWXUYQPJrJYHDLOHkj,192600,4,3831,Daddy Yankee - Gasolina (Video Oficial),Latin Flow,95420295,239020,25200,CCF1_jI8Prk,228BxWXUYQPJrJYHDLOHkj,6694711380450215938,1586112418,1586112407,6zs7nwQBRakd
I Need Your Love,1,Madilyn Bailey,54,"The Covers, Vol. 6",199797,spotify:track:62usIcDxqFIQ7x5qN91hrN,0.562,0.252,3,-7.428,1,0.0356,0.864,0.0,0.124,0.289,110.825,audio_features,62usIcDxqFIQ7x5qN91hrN,spotify:track:62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/tracks/62usIcDxqFIQ7x5qN91hrN,https://api.spotify.com/v1/audio-analysis/62usIcDxqFIQ7x5qN91hrN,199797,4,3832,Ellie Goulding - I Need Your Love - Official Acoustic Music Video - Madilyn Bailey & Jake Coco,Madilyn Bailey,22318262,238800,12540,v3gqHFx1oT4,62usIcDxqFIQ7x5qN91hrN,6774345467095451650,708551761,708551665,DjITmWOK4tJB
Sweet Dreams,68,Marcus Layton,54,Sweet Dreams,151989,spotify:track:0RD27NcbftTkhb1NlxQMGR,0.732,0.714,0,-7.432,0,0.0791,0.332,1.05e-06,0.131,0.376,121.982,audio_features,0RD27NcbftTkhb1NlxQMGR,spotify:track:0RD27NcbftTkhb1NlxQMGR,https://api.spotify.com/v1/tracks/0RD27NcbftTkhb1NlxQMGR,https://api.spotify.com/v1/audio-analysis/0RD27NcbftTkhb1NlxQMGR,151989,4,3833,Marcus Layton - Sweet Dreams (Official Video),Marcus Layton,20110439,238800,1258,6wL8osKReME,0RD27NcbftTkhb1NlxQMGR,6839696990473816066,1519520796,1519520549,Ojt3pFcsVaSp
