track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
loving u is harder,68,SEB,57,loving u is harder,147426,spotify:track:3zyzC28g7uU4YfWN840ciZ,0.696,0.809,8,-6.622,0,0.0473,0.61,0.00924,0.177,0.738,80.039,audio_features,3zyzC28g7uU4YfWN840ciZ,spotify:track:3zyzC28g7uU4YfWN840ciZ,https://api.spotify.com/v1/tracks/3zyzC28g7uU4YfWN840ciZ,https://api.spotify.com/v1/audio-analysis/3zyzC28g7uU4YfWN840ciZ,147427,4,3002,SEB - loving u is harder (Official Music Video),loving ufo,9830536,308900,-150,VYkGccD_fr4,3zyzC28g7uU4YfWN840ciZ,6901858352402385666,1649819977,1649819976,gCBhbFbg8Bjy
Obsessed With You,77,Central Cee,82,23,108650,spotify:track:4oxGI8yyghLuMV7ybRG3kg,0.746,0.825,3,-4.457,1,0.0435,0.192,0.0,0.365,0.904,143.062,audio_features,4oxGI8yyghLuMV7ybRG3kg,spotify:track:4oxGI8yyghLuMV7ybRG3kg,https://api.spotify.com/v1/tracks/4oxGI8yyghLuMV7ybRG3kg,https://api.spotify.com/v1/audio-analysis/4oxGI8yyghLuMV7ybRG3kg,108651,4,3003,Central Cee - Obsessed With You (Official Video),CentralCee,96573427,308680,180,oP7KHC129RQ,4oxGI8yyghLuMV7ybRG3kg,6997136798090528770,1584859473,1584859463,6LRtuClo6JTL
Gimme Love,63,Joji,79,Gimme Love,214557,spotify:track:2hfoyc7ve6xM4ZEiNIiU1B,0.482,0.631,5,-6.917,1,0.0986,0.696,0.0242,0.209,0.0743,126.576,audio_features,2hfoyc7ve6xM4ZEiNIiU1B,spotify:track:2hfoyc7ve6xM4ZEiNIiU1B,https://api.spotify.com/v1/tracks/2hfoyc7ve6xM4ZEiNIiU1B,https://api.spotify.com/v1/audio-analysis/2hfoyc7ve6xM4ZEiNIiU1B,214558,3,3005,Joji - Gimme Love (Official Video),Joji,175230333,308300,-1277,jPan651rVMs,2hfoyc7ve6xM4ZEiNIiU1B,6815211175517620225,1506573957,1506573949,RsgfaU5dd3nx
The Feels,56,TWICE,79,The Feels,198053,spotify:track:6pgqZ7Iw4LfHlfgWWaRFSY,0.808,0.903,9,-2.179,1,0.0729,0.0899,0.0,0.0816,0.922,120.044,audio_features,6pgqZ7Iw4LfHlfgWWaRFSY,spotify:track:6pgqZ7Iw4LfHlfgWWaRFSY,https://api.spotify.com/v1/tracks/6pgqZ7Iw4LfHlfgWWaRFSY,https://api.spotify.com/v1/audio-analysis/6pgqZ7Iw4LfHlfgWWaRFSY,198053,4,3007,"TWICE ""The Feels"" M/V",TWICE,255688715,308100,556,f5_wn8mexmM,6pgqZ7Iw4LfHlfgWWaRFSY,7013057561242896386,1584128934,1584128932,3O1wV33dX2bx
pogo rmx,0,BABRETIONWORLD MUSIC,13,BabretionWorld Beat 8,205453,spotify:track:57fbk0NZ6nwqNGIaNXy3Sm,0.559,0.718,10,-13.227,0,0.0629,0.00411,0.415,0.0809,0.957,113.299,audio_features,57fbk0NZ6nwqNGIaNXy3Sm,spotify:track:57fbk0NZ6nwqNGIaNXy3Sm,https://api.spotify.com/v1/tracks/57fbk0NZ6nwqNGIaNXy3Sm,https://api.spotify.com/v1/audio-analysis/57fbk0NZ6nwqNGIaNXy3Sm,205453,5,3008,original sound - 🌈 POGO🌈,🌈 POGO🌈,12962216,308100,0,,57fbk0NZ6nwqNGIaNXy3Sm,6791834643709610754,,,CTVXVOvmCzFO
Rolex,70,Ayo & Teo,54,Rolex,238586,spotify:track:0pSBuHjILhNEo55xK1zrRt,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,audio_features,0pSBuHjILhNEo55xK1zrRt,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4,3011,Ayo & Teo - Rolex (Official Video),Ayo & Teo,6167276,307864,-197,lwk5OUII9Vc,0pSBuHjILhNEo55xK1zrRt,222156443209080832,1215753230,1215753014,WC2FoY6AC2KZ
Kraazy,63,Likybo,41,Million Dollar Mindset,151578,spotify:track:3s2Qd1rsWqbvOoxpFTRp8D,0.689,0.701,6,-9.477,0,0.237,0.314,0.0,0.123,0.37,94.982,audio_features,3s2Qd1rsWqbvOoxpFTRp8D,spotify:track:3s2Qd1rsWqbvOoxpFTRp8D,https://api.spotify.com/v1/tracks/3s2Qd1rsWqbvOoxpFTRp8D,https://api.spotify.com/v1/audio-analysis/3s2Qd1rsWqbvOoxpFTRp8D,151579,4,3012,Likybo - Kraazy (Official Video),Likybo,134429154,307800,-1460,_D1wH2kzFws,3s2Qd1rsWqbvOoxpFTRp8D,6755628946395498498,1256204488,1256204218,DOygaPLtBm5Q
Gentle Rain Fall,61,Rain Sounds,70,"Rain Drop Medley of Roof, Thunder, Forest, Car, and More (Loopable Audio for Insomnia, Meditation, and Restless Children)",68011,spotify:track:14NEgZFbFI38a0TsxaKNoV,0.0822,0.814,1,-24.379,1,0.0564,4.84e-05,0.989,0.499,0.0298,173.199,audio_features,14NEgZFbFI38a0TsxaKNoV,spotify:track:14NEgZFbFI38a0TsxaKNoV,https://api.spotify.com/v1/tracks/14NEgZFbFI38a0TsxaKNoV,https://api.spotify.com/v1/audio-analysis/14NEgZFbFI38a0TsxaKNoV,68011,3,3013,Waterfall (Nature Sounds),Deep Sleep Music,13917625,307750,1700,,14NEgZFbFI38a0TsxaKNoV,6813402323063162881,,,uCxZjH2gvaIJ
Astronaut In The Ocean,0,Masked Wolf,64,Astronaut In The Ocean,132780,spotify:track:0jdso14vaFnpRazMLEZovF,0.778,0.695,4,-6.865,0,0.0913,0.174,0.0,0.151,0.472,149.996,audio_features,0jdso14vaFnpRazMLEZovF,spotify:track:0jdso14vaFnpRazMLEZovF,https://api.spotify.com/v1/tracks/0jdso14vaFnpRazMLEZovF,https://api.spotify.com/v1/audio-analysis/0jdso14vaFnpRazMLEZovF,132780,4,3014,Masked Wolf - Astronaut In The Ocean (Official Music Video),MaskedWolf,134991188,307508,-1327,MEg-oqI9qmw,0jdso14vaFnpRazMLEZovF,6782913875441371138,1547525311,1547525310,uqyl4IMJT6JV
Dance Monkey,0,Tones And I,68,Dance Monkey,209754,spotify:track:421leiR6jKlH5KDdwLYrOs,0.824,0.592,6,-6.4,0,0.0969,0.693,0.000158,0.178,0.54,98.074,audio_features,421leiR6jKlH5KDdwLYrOs,spotify:track:421leiR6jKlH5KDdwLYrOs,https://api.spotify.com/v1/tracks/421leiR6jKlH5KDdwLYrOs,https://api.spotify.com/v1/audio-analysis/421leiR6jKlH5KDdwLYrOs,209755,4,3015,TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),Tones And I,28613313,307500,-850,q0hyYWKXF0Q,421leiR6jKlH5KDdwLYrOs,6746460269532200962,1475546088,1475546087,O3rBl7VkgN9D
Sesungguhnya Aku,28,Aziz Harun,37,Sesungguhnya Aku,143466,spotify:track:1jlnrYhTjkMED2fEh1sHmk,0.488,0.177,4,-10.587,1,0.0339,0.945,0.0,0.0983,0.315,132.083,audio_features,1jlnrYhTjkMED2fEh1sHmk,spotify:track:1jlnrYhTjkMED2fEh1sHmk,https://api.spotify.com/v1/tracks/1jlnrYhTjkMED2fEh1sHmk,https://api.spotify.com/v1/audio-analysis/1jlnrYhTjkMED2fEh1sHmk,143467,4,3016,original sound - Hanifah,Hanifah,18509897,307400,0,,1jlnrYhTjkMED2fEh1sHmk,6882990069263764226,,,KN7Bql0fZ2Ms
รักเธอยายแก่,15,BALLCHON,15,รักเธอยายแก่,200000,spotify:track:5WUwhWmvtYMk8h5xNz4VyO,0.714,0.629,11,-6.785,0,0.0463,0.622,0.0,0.307,0.644,94.929,audio_features,5WUwhWmvtYMk8h5xNz4VyO,spotify:track:5WUwhWmvtYMk8h5xNz4VyO,https://api.spotify.com/v1/tracks/5WUwhWmvtYMk8h5xNz4VyO,https://api.spotify.com/v1/audio-analysis/5WUwhWmvtYMk8h5xNz4VyO,200000,4,3018,รักเธอยายแก่ (Love You My Girl) - BALLCHON & PAILIN x TikTok (Prod. by Wine Neti) | OFFICIAL MV,ไพลินไปกั้นน💖,25342229,307300,-574,68CIr2UH6fw,5WUwhWmvtYMk8h5xNz4VyO,7061823530832250881,,,BTPiQ6hTbOOM
Kant liyam faini zina / كانت الليام فعيني زينة,19,Cheb Lahbitri,23,Fin chbabi dato el ahlam,341565,spotify:track:2rxd4UizCnerx9YP6olGFI,0.566,0.727,0,-10.514,1,0.0339,0.119,0.00382,0.268,0.872,167.353,audio_features,2rxd4UizCnerx9YP6olGFI,spotify:track:2rxd4UizCnerx9YP6olGFI,https://api.spotify.com/v1/tracks/2rxd4UizCnerx9YP6olGFI,https://api.spotify.com/v1/audio-analysis/2rxd4UizCnerx9YP6olGFI,341565,4,3019,Khentay,thelimba & Rakhim,33043425,307300,-733,,2rxd4UizCnerx9YP6olGFI,6982948238147980033,1673449156,1673449126,s6ZsVaL6ZWXN
美女と野獣[チェレスタ],25,Relaxing α WAVE,45,いっしょにねんね〜赤ちゃんがすやすや眠る音楽〜ディズニー編〜,234091,spotify:track:3gDzqnQPFbKWIabx2YIV1H,0.702,0.325,6,-18.049,1,0.0649,0.991,0.78,0.0803,0.848,139.898,audio_features,3gDzqnQPFbKWIabx2YIV1H,spotify:track:3gDzqnQPFbKWIabx2YIV1H,https://api.spotify.com/v1/tracks/3gDzqnQPFbKWIabx2YIV1H,https://api.spotify.com/v1/audio-analysis/3gDzqnQPFbKWIabx2YIV1H,234092,4,3020,Волшебная музыка,阿吉野马,72506163,307200,1525,,3gDzqnQPFbKWIabx2YIV1H,6876315870457497607,,,TgzGs2BTNhRt
