track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,rank,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days,youtube_platform_id,spotify_platform_id,tiktok_platform_id,itunes_platform_id,itunes_album_platform_id,song_guid
It Wasn't Me,82,Shaggy,71,Hot Shot,227600,spotify:track:3WkibOpDF7cQ5xntM1epyf,0.853,0.606,0,-4.596,1,0.0713,0.0561,0.0,0.313,0.654,94.759,audio_features,3WkibOpDF7cQ5xntM1epyf,spotify:track:3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/tracks/3WkibOpDF7cQ5xntM1epyf,https://api.spotify.com/v1/audio-analysis/3WkibOpDF7cQ5xntM1epyf,227600,4,4801,Shaggy It Wasn't Me (Official Music Video) (uncensored),DiRealShaggy,23696132,184820,3920,T_x6QmuJdms,3WkibOpDF7cQ5xntM1epyf,6740851850494363650,1449315876,1449315854,NkbnTH2KUwmK
Доля Воровская,32,Zawanbeats,29,Доля Воровская,130913,spotify:track:2BkPIuc7AQQzOGEdfnkhvT,0.764,0.774,11,-7.844,0,0.0646,0.0223,0.883,0.336,0.431,98.02,audio_features,2BkPIuc7AQQzOGEdfnkhvT,spotify:track:2BkPIuc7AQQzOGEdfnkhvT,https://api.spotify.com/v1/tracks/2BkPIuc7AQQzOGEdfnkhvT,https://api.spotify.com/v1/audio-analysis/2BkPIuc7AQQzOGEdfnkhvT,130914,4,4802,Доля Воровская,Zawanbeats,4876595,184810,628,lXUR92OU8bc,2BkPIuc7AQQzOGEdfnkhvT,6824808929512392706,1520504024,1520504023,Ozdd3JCEz8S0
cuatro veinte,63,Emilia,78,cuatro veinte,133894,spotify:track:1TpZKxGnHp37ohJRszTSiq,0.761,0.696,7,-3.817,0,0.0505,0.0811,6.25e-05,0.101,0.501,95.066,audio_features,1TpZKxGnHp37ohJRszTSiq,spotify:track:1TpZKxGnHp37ohJRszTSiq,https://api.spotify.com/v1/tracks/1TpZKxGnHp37ohJRszTSiq,https://api.spotify.com/v1/audio-analysis/1TpZKxGnHp37ohJRszTSiq,133895,4,4804,Emilia - cuatro veinte (Official Video),EMILIA,72010145,184700,-500,SG3dSWd5t6c,1TpZKxGnHp37ohJRszTSiq,7076255404568610818,1614945903,1614945899,W9QDOVf6Cqt2
Say It Right - Main,0,Nelly Furtado,74,The Best of Nelly Furtado (International Version),223520,spotify:track:5LwPqhWijLpG9VWKtNqaJI,0.868,0.871,1,-6.179,1,0.136,0.0478,0.000633,0.0481,0.838,116.944,audio_features,5LwPqhWijLpG9VWKtNqaJI,spotify:track:5LwPqhWijLpG9VWKtNqaJI,https://api.spotify.com/v1/tracks/5LwPqhWijLpG9VWKtNqaJI,https://api.spotify.com/v1/audio-analysis/5LwPqhWijLpG9VWKtNqaJI,223520,4,4805,Nelly Furtado - Say It Right (Official Music Video),Nelly Furtado,62408151,184690,3012,6JnGBs88sL0,5LwPqhWijLpG9VWKtNqaJI,6888701599418419201,1442464133,1442463545,BPWPpEzdQJ4X
Aglow (Intro) - Slowed Down Version,62,Karamel Kel,44,Aglow (Intro) [Slowed Down Version],139741,spotify:track:4zWQh63eFQRwWNFElIfyVk,0.283,0.112,3,-14.598,1,0.0288,0.981,0.908,0.0772,0.298,164.072,audio_features,4zWQh63eFQRwWNFElIfyVk,spotify:track:4zWQh63eFQRwWNFElIfyVk,https://api.spotify.com/v1/tracks/4zWQh63eFQRwWNFElIfyVk,https://api.spotify.com/v1/audio-analysis/4zWQh63eFQRwWNFElIfyVk,139741,4,4806,Aglow (Intro) (Slowed Down Version),Karamel Kel,106508339,184598,35242,-Wn945umsbY,4zWQh63eFQRwWNFElIfyVk,6901140570341656578,1594327552,1594327551,MR9RRtyQYSsL
Blinding Lights,20,The Weeknd,94,Blinding Lights,201573,spotify:track:0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,4809,The Weeknd - Blinding Lights (Official Video),The Weeknd,36833346,184400,2700,4NRXx6U8ABQ,0sf12qNH5qcw8qpgymFOqD,6806222698058876930,1488408568,1488408555,xJatOOVGt2u0
Vacilou,1,Alex Ronaldo,22,Vacilou,194718,spotify:track:0MT92uuz2kbHy9VTGFA3TW,0.681,0.891,5,-3.12,0,0.0382,0.213,0.0,0.163,0.842,162.933,audio_features,0MT92uuz2kbHy9VTGFA3TW,spotify:track:0MT92uuz2kbHy9VTGFA3TW,https://api.spotify.com/v1/tracks/0MT92uuz2kbHy9VTGFA3TW,https://api.spotify.com/v1/audio-analysis/0MT92uuz2kbHy9VTGFA3TW,194718,4,4810,Alex Ronaldo - Vacilou - Dvd 2022,Alex Ronaldo,3842573,184400,1700,pr375tEioHw,0MT92uuz2kbHy9VTGFA3TW,7109155702749038593,1629532435,1629532428,PhNzoRfjCsZL
Low (feat. T-Pain),84,Flo Rida,77,Mail on Sunday,231400,spotify:track:0CAfXk7DXMnon4gLudAp7J,0.918,0.609,10,-5.64,0,0.0791,0.0928,0.0,0.139,0.304,128.008,audio_features,0CAfXk7DXMnon4gLudAp7J,spotify:track:0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/tracks/0CAfXk7DXMnon4gLudAp7J,https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J,231400,4,4811,Flo Rida - Low (feat. T-Pain) [from Step Up 2 The Streets O.S.T. / Mail On Sunday] (Official Video),T-Pain & Flo Rida,84468626,184400,0,U2waT9TxPU0,0CAfXk7DXMnon4gLudAp7J,224254646075260928,267019888,267019874,MEyTQ5IPn4qV
Hawayein,77,Pritam,85,Jab Harry Met Sejal (Original Motion Picture Soundtrack),289999,spotify:track:0l6g8Z8mqGbGXFOjigYetD,0.606,0.601,2,-5.576,1,0.0283,0.796,0.000511,0.127,0.453,125.961,audio_features,0l6g8Z8mqGbGXFOjigYetD,spotify:track:0l6g8Z8mqGbGXFOjigYetD,https://api.spotify.com/v1/tracks/0l6g8Z8mqGbGXFOjigYetD,https://api.spotify.com/v1/audio-analysis/0l6g8Z8mqGbGXFOjigYetD,289999,4,4812,"Hawayein Full Video - Jab Harry Met Sejal|Shah Rukh Khan, Anushka|Arijit Singh|Pritam",Pritam & Arijit Singh,2554744,184320,18480,lBACSadCKaQ,0l6g8Z8mqGbGXFOjigYetD,5000000001320739887,1263940994,1263940660,HWbJUyA8PEnc
"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")",51,Badshah,73,"Kar Gayi Chull (From ""Kapoor & Sons (Since 1921)"")",187710,spotify:track:3Q8yDujnXxwRiZ4p6VqY7b,0.827,0.737,11,-5.473,0,0.0764,0.0316,0.000322,0.211,0.873,121.99,audio_features,3Q8yDujnXxwRiZ4p6VqY7b,spotify:track:3Q8yDujnXxwRiZ4p6VqY7b,https://api.spotify.com/v1/tracks/3Q8yDujnXxwRiZ4p6VqY7b,https://api.spotify.com/v1/audio-analysis/3Q8yDujnXxwRiZ4p6VqY7b,187711,4,4815,Kar Gayi Chull - Kapoor & Sons | Sidharth Malhotra | Alia Bhatt | Badshah | Amaal Mallik |Fazilpuria,Neha Kakkar & badshah & Sukriti Kakar,5505593,184166,666,NTHz9ephYTw,3Q8yDujnXxwRiZ4p6VqY7b,6716224363172988929,,,fmJCXq0KriAv
