track_name,track_pop,artist,artist_pop,album,length,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist_name,total_likes_count,number_of_videos,number_of_videos_last_14days
Tangled Up - Lokee Remix,0,Caro Emerald,50,Tangled Up,205853,0.926,0.622,9.0,-3.982,0.0,0.0688,0.073,0.0,0.069,0.816,125.994,1DSJTiVrofIW1ISBv2thfh,205853.0,4.0,"Caro Emerald, Tangled Up (Lokee Remix)",Caro Emerald,6015565,361200,-534
"Hey, wir woll'n die Eisbären seh'n - Original Mix",40,Sound Convoy,25,"Hey, wir woll´n die Eisbären seh´n",211266,0.699,0.95,8.0,-5.291,1.0,0.0369,0.0243,7.05e-06,0.583,0.709,124.058,1hDNg43vCjUHSJSzETUHdN,211267.0,4.0,original sound,Coi,125009580,360700,-2200
"Take Me Home, Country Roads - Rerecorded",0,John Denver,67,"The John Denver Collection, Vol. 1: Take Me Home Country Roads",197813,0.255,0.43,9.0,-12.564,1.0,0.0322,0.546,1.87e-05,0.188,0.546,164.267,2xYlyywNgefLCRDG8hlxZq,197813.0,4.0,"John Denver - Take Me Home, Country Roads (Official Audio)",John Denver,32137916,360000,4300
Timber (feat. Ke$ha),66,Pitbull,81,Global Warming: Meltdown (Deluxe Version),204200,0.589,0.966,11.0,-4.106,1.0,0.0972,0.03,0.0,0.147,0.802,129.983,3tgZ9vmhuAY9wEoNUJskzV,204200.0,4.0,Pitbull - Timber (Official Video) ft. Ke$ha,Pitbull & Kesha,124218413,359980,-2240
Reading Rainbow Theme Song,39,Reading Rainbow,18,Reading Raibows Greatest Hits,53760,0.736,0.363,9.0,-15.792,1.0,0.751,0.832,0.0,0.0801,0.197,166.209,6XhLvHFFGw89NbGfpINRyn,53760.0,4.0,Reading Rainbow Theme Song,Reading Rainbow,113213445,359800,-1136
No Batidão,51,Melody,65,No Batidão,229894,0.817,0.683,7.0,-4.219,0.0,0.054,0.338,0.0,0.353,0.725,95.017,3P7hWqr1Nq9BoOmh7C4fN1,229894.0,4.0,"MC Henny, Bella Angel e Melody - No Batidão (kondzilla.com)",Bella Angel & Melody.oficial.3 & Henny,28584236,359800,-1400
"Gang Up (with Young Thug, 2 Chainz & Wiz Khalifa feat. PnB Rock)",51,Young Thug,84,Fast & Furious 8: The Album,231653,0.631,0.732,1.0,-4.706,1.0,0.203,0.0304,0.0,0.261,0.549,151.779,3ocCcwoqlRPk3uszdNSWhJ,231653.0,4.0,"Young Thug, 2 Chainz, Wiz Khalifa & PnB Rock – Gang Up (The Fate of the Furious: The Album) [VIDEO]",2 Chainz & Young Thug & Wiz Khalifa,52777614,359700,-1742
Tak Tiki Tak,0,Harry Nach,61,Tak Tiki Tak,212406,0.802,0.579,11.0,-4.78,0.0,0.0869,0.335,0.000311,0.173,0.234,99.992,0aCTSZQTlmnjQucALTF00s,212406.0,4.0,Harry Nach - Tak Tiki Tak (Video Oficial),Harry Nach,53745034,358900,666
Feliciano,22,Los MyM de Martin y Manuel,27,Soy Yo,167423,0.688,0.61,2.0,-5.612,1.0,0.0508,0.291,0.0,0.26,0.625,100.731,2R4jEUaQ1O8kR5anapYvbX,167424.0,3.0,Feliz Navidad,José Feliciano,32649628,358566,-1042
The Bug Collector,73,Haley Heynderickx,54,I Need to Start a Garden,228459,0.538,0.419,10.0,-9.705,1.0,0.0353,0.777,0.329,0.0967,0.529,99.622,5nVE45ithgyVocZp5XLAk6,228460.0,4.0,The Bug Collector,Haley Heynderickx,77543857,358560,208880
