,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,viral
37,0.889,0.53,1.0,-8.933,1.0,0.441,0.00738,0.0,0.063,0.659,144.045,4lAbqSlFy6KCwPeEo0vaLW,126275.918,4.0,1
38,0.843,0.743,11.0,-5.608,1.0,0.335,0.0251,0.0,0.096,0.698,168.98,3JC4hnMYH0cTeeFdiLfeE5,155689.796,4.0,1
39,0.669,0.634,2.0,-4.3,1.0,0.0321,0.0685,0.0,0.0597,0.276,127.915,2duyHVCqcaX2FSwjzuZijF,167053.06100000002,4.0,1
40,0.682,0.931,8.0,-3.995,1.0,0.248,0.179,0.0,0.207,0.387,163.954,0M5igzLuVkGfr76ezrAZI3,248476.735,4.0,1
41,0.915,0.556,1.0,-8.601,1.0,0.216,0.0145,0.000179,0.0733,0.67,148.964,3u7YzRbwhYn0V2XTeHxgBR,181733.878,4.0,1
42,0.44,0.317,8.0,-9.258,1.0,0.0531,0.891,4.78e-06,0.141,0.268,169.914,1ujNQEBdvAuBn8EWHB7nAr,233691.429,3.0,1
43,0.888,0.459,2.0,-8.154,1.0,0.0357,0.426,0.0,0.11,0.704,112.56,4UPQiDmYScn2C6S2C2WATY,176822.857,3.0,1
44,0.399,0.491,6.0,-10.778,0.0,0.0538,0.0563,0.00089,0.11,0.151,91.066,6AGOKlMZWLCaEJGnaROtF9,243356.735,4.0,1
45,0.714,0.472,2.0,-7.375,1.0,0.0864,0.013,4.51e-06,0.266,0.238,131.121,3nqQXoyQOWXiESFLlDF1hG,156186.122,4.0,1
46,0.828,0.782,11.0,-4.014,1.0,0.0918,0.0694,3.41e-05,0.0544,0.351,130.013,3vAn0qZzdyuHamcrpkfiX3,177502.041,4.0,1
47,0.696,0.809,5.0,-8.254,1.0,0.05,0.252,0.000128,0.248,0.857,132.962,6AQbmUe0Qwf5PZnt4HmTXv,131343.673,4.0,1
48,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,0t1kP63rueHleOhQkYSXFY,198504.49,4.0,1
49,0.929,0.203,7.0,-18.004,1.0,0.146,0.901,0.803,0.11,0.91,144.053,1VsTvfmPwrJxIP5idldxX7,125100.408,4.0,1
50,0.44,0.04,3.0,-16.887,1.0,0.0322,0.981,0.465,0.111,0.249,135.965,4IhTXiZLKATmwhMZIb1GQN,189257.143,4.0,1
51,0.527,0.834,1.0,-5.531,1.0,0.0447,0.00107,0.000102,0.0993,0.422,110.065,6otiaV2fagE3s8IvP6WkwG,198164.898,4.0,1
52,0.568,0.824,9.0,-4.613,1.0,0.0299,0.403,0.0,0.0855,0.753,108.625,5Ts1DYOuouQLgzTaisxWYh,168646.53100000002,4.0,1
53,0.94,0.616,0.0,-3.153,0.0,0.0936,0.225,0.0,0.13,0.535,131.294,74PdooqFwI8VhklmayQ7dz,249364.89800000002,4.0,1
54,0.598,0.526,10.0,-8.659,0.0,0.0415,0.129,0.0,0.14,0.529,123.935,7CHi4DtfK4heMlQaudCuHK,168124.082,4.0,1
55,0.756,0.211,5.0,-17.646,1.0,0.409,0.784,8.65e-06,0.11,0.307,81.253,6uDBSDI9pDM7C4Gm0hc2hI,107990.20400000001,4.0,1
57,0.659,0.526,11.0,-12.156,0.0,0.0443,0.102,0.833,0.0577,0.629,136.246,3TL3UhzONDCC1fP05IsiOT,137795.918,4.0,1
58,0.727,0.739,8.0,-3.805,1.0,0.0411,0.365,0.00137,0.161,0.533,93.005,2Xr1dTzJee307rmrkt8c0g,146546.939,4.0,1
60,0.688,0.17,10.0,-18.751,0.0,0.0596,0.74,0.899,0.111,0.275,143.949,6sAn8zDfv8nIq3gdce7QNI,122540.408,4.0,1
61,0.759,0.459,8.0,-5.187,1.0,0.0948,0.00323,0.0,0.0906,0.695,109.997,3VqeTFIvhxu3DIe4eZVzGq,166922.449,4.0,1
62,0.835,0.747,10.0,-6.328,0.0,0.0622,0.101,0.0,0.355,0.713,108.975,4A2CyJ3VhCxiQCYXlV6zRL,191529.796,4.0,1
63,0.614,0.696,7.0,-10.91,1.0,0.0412,0.678,0.85,0.145,0.722,93.232,3tfunfsqPIYl0uV9OztFQu,122148.57100000001,4.0,1
64,0.762,0.701,8.0,-3.541,1.0,0.0286,0.235,0.000158,0.123,0.742,110.968,748mdHapucXQri7IAO8yFK,208953.469,4.0,1
65,0.849,0.941,8.0,-6.448,1.0,0.223,0.0269,0.00717,0.0596,0.765,134.479,3iWOZkQNDekZQqkiJqqeGy,192835.918,4.0,1
66,0.721,0.205,2.0,-13.27,1.0,0.162,0.866,0.601,0.12,0.268,112.552,7JC5p6TGqAwPz3JJgcs9j7,159164.082,4.0,0
67,0.861,0.62,7.0,-4.73,1.0,0.0552,0.305,4.99e-05,0.125,0.824,128.972,2mWTH9kjYqQ2QooiyOd0No,219637.551,4.0,1
68,0.85,0.683,0.0,-12.523,1.0,0.0434,4.5e-05,0.8,0.0623,0.206,121.087,4HVCZ7ZuxT5pQkYMd9tBOp,236721.633,4.0,1
69,0.38,0.01,3.0,-27.762,0.0,0.0353,0.994,0.927,0.0947,0.049,65.032,0RXFs953rwk2ETlkKI081t,130324.89799999999,4.0,1
70,0.742,0.883,0.0,-3.419,1.0,0.0329,0.333,7.51e-06,0.0964,0.978,136.506,43f5cRyu4Wgnuf2t3AdZzL,235650.612,4.0,1
71,0.743,0.429,10.0,-14.576,0.0,0.0902,0.447,0.362,0.0455,0.597,95.406,4x3r0yGLew6jW5WhNheNGV,238942.041,4.0,1
72,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,20on25jryn53hWghthWWW3,160052.245,4.0,1
73,0.897,0.513,10.0,-6.973,0.0,0.309,0.571,0.0,0.101,0.692,139.935,1meosvrJFk4xXo1HwUIasC,174628.571,4.0,1
74,0.872,0.503,6.0,-5.143,0.0,0.184,0.118,0.000442,0.0675,0.965,94.994,7q1deBagSVG5uBI2GDawqK,249129.796,4.0,1
75,0.924,0.386,9.0,-8.183,1.0,0.0548,0.755,0.00253,0.118,0.424,108.957,5MeUMSRreLHYLhw8ZTyqpk,179644.082,4.0,1
76,0.555,0.703,9.0,-4.531,1.0,0.0331,0.0184,2.35e-05,0.124,0.745,141.689,0IQJdEnka1ETzN5cUlAs1Y,190641.633,4.0,1
78,0.447,0.727,0.0,-6.777,1.0,0.356,0.378,0.0,0.0916,0.822,77.181,0MjqflLjrMaAmbqEQ4mSD2,227578.776,4.0,1
79,0.52,0.194,10.0,-17.221,1.0,0.0519,0.984,0.947,0.109,0.15,160.002,4zfWNeNDXaJjOLebhbQ7dI,234187.755,4.0,1
80,0.466,0.0918,10.0,-26.813,1.0,0.0269,0.929,0.803,0.439,0.0841,95.014,4xF4ZBGPZKxECeDFrqSAG4,123402.44900000001,4.0,1
