track_name,track_pop,artist,artist_pop,album,length,track_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Heat Waves,53,Glass Animals,74,Dreamland (+ Bonus Levels),238805,spotify:track:02MWAaffLxlfxAUY7c5dvx,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,audio_features,02MWAaffLxlfxAUY7c5dvx,spotify:track:02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805,4
Closer,40,Jawmill,30,Closer,161428,spotify:track:15dNVOFvA2qQ1kBxwjMvB8,0.667,0.697,7,-6.231,1,0.039,0.00544,9.46e-06,0.228,0.106,126.052,audio_features,15dNVOFvA2qQ1kBxwjMvB8,spotify:track:15dNVOFvA2qQ1kBxwjMvB8,https://api.spotify.com/v1/tracks/15dNVOFvA2qQ1kBxwjMvB8,https://api.spotify.com/v1/audio-analysis/15dNVOFvA2qQ1kBxwjMvB8,161429,4
Never Going Back Home,44,99 Percent,40,Never Going Back Home,163481,spotify:track:77vuduDMvc9p6MlZ1PTmSe,0.6,0.738,3,-5.75,1,0.0558,0.269,5.92e-06,0.261,0.532,122.97,audio_features,77vuduDMvc9p6MlZ1PTmSe,spotify:track:77vuduDMvc9p6MlZ1PTmSe,https://api.spotify.com/v1/tracks/77vuduDMvc9p6MlZ1PTmSe,https://api.spotify.com/v1/audio-analysis/77vuduDMvc9p6MlZ1PTmSe,163482,4
STAY (with Justin Bieber),88,The Kid LAROI,78,STAY (with Justin Bieber),141805,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,audio_features,5HCyWlXZPP0y6Gqq8TgA20,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20,141806,4
Enemy (with JID) - from the series Arcane League of Legends,83,Imagine Dragons,85,Enemy (with JID) [from the series Arcane League of Legends],173381,spotify:track:1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,audio_features,1r9xUipOqoNwggBpENDsvJ,spotify:track:1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/tracks/1r9xUipOqoNwggBpENDsvJ,https://api.spotify.com/v1/audio-analysis/1r9xUipOqoNwggBpENDsvJ,173381,4
Glimpse of Us,87,Joji,79,Glimpse of Us,233456,spotify:track:6xGruZOHLs39ZbVccQTuPZ,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,audio_features,6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/tracks/6xGruZOHLs39ZbVccQTuPZ,https://api.spotify.com/v1/audio-analysis/6xGruZOHLs39ZbVccQTuPZ,233456,3
Bones,88,Imagine Dragons,85,Mercury - Acts 1 & 2,165264,spotify:track:54ipXppHLA8U4yqpOFTUhr,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,audio_features,54ipXppHLA8U4yqpOFTUhr,spotify:track:54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/tracks/54ipXppHLA8U4yqpOFTUhr,https://api.spotify.com/v1/audio-analysis/54ipXppHLA8U4yqpOFTUhr,165265,4
One Day At A Time,67,Thierry Von Der Warth,58,One Day At A Time,151632,spotify:track:6UbNrW8X1v4oOR29vzSVqX,0.713,0.741,5,-5.695,0,0.033,0.224,0.000135,0.117,0.526,122.133,audio_features,6UbNrW8X1v4oOR29vzSVqX,spotify:track:6UbNrW8X1v4oOR29vzSVqX,https://api.spotify.com/v1/tracks/6UbNrW8X1v4oOR29vzSVqX,https://api.spotify.com/v1/audio-analysis/6UbNrW8X1v4oOR29vzSVqX,151633,4
Until I Found You,86,Stephen Sanchez,75,Until I Found You,177720,spotify:track:0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,audio_features,0T5iIrXA4p5GsubkhuBIKV,spotify:track:0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/tracks/0T5iIrXA4p5GsubkhuBIKV,https://api.spotify.com/v1/audio-analysis/0T5iIrXA4p5GsubkhuBIKV,177720,3
First Class,26,Jack Harlow,77,First Class,173947,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4
MIDDLE OF THE NIGHT,88,Elley Duhé,74,MIDDLE OF THE NIGHT,184447,spotify:track:58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,audio_features,58HvfVOeJY7lUuCqF0m3ly,spotify:track:58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/tracks/58HvfVOeJY7lUuCqF0m3ly,https://api.spotify.com/v1/audio-analysis/58HvfVOeJY7lUuCqF0m3ly,184448,3
"Sex, Drugs, Etc.",85,Beach Weather,68,Chit Chat,196784,spotify:track:7DbdUf8aHSYoliSjO6LZv6,0.572,0.839,4,-5.083,0,0.0377,0.013,0.00976,0.522,0.465,143.969,audio_features,7DbdUf8aHSYoliSjO6LZv6,spotify:track:7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/tracks/7DbdUf8aHSYoliSjO6LZv6,https://api.spotify.com/v1/audio-analysis/7DbdUf8aHSYoliSjO6LZv6,196784,4
Attention,48,KALUMA,50,Attention,137000,spotify:track:62ZLj2whMtISJlflWAg2xa,0.681,0.831,5,-4.792,0,0.0455,0.148,0.0,0.273,0.324,106.995,audio_features,62ZLj2whMtISJlflWAg2xa,spotify:track:62ZLj2whMtISJlflWAg2xa,https://api.spotify.com/v1/tracks/62ZLj2whMtISJlflWAg2xa,https://api.spotify.com/v1/audio-analysis/62ZLj2whMtISJlflWAg2xa,137000,4
Meet Me At Our Spot,79,THE ANXIETY,58,THE ANXIETY,162680,spotify:track:07MDkzWARZaLEdKxo6yArG,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,audio_features,07MDkzWARZaLEdKxo6yArG,spotify:track:07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/tracks/07MDkzWARZaLEdKxo6yArG,https://api.spotify.com/v1/audio-analysis/07MDkzWARZaLEdKxo6yArG,162680,4
NO,81,Meghan Trainor,76,Thank You (Deluxe Version),213506,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,0.557,0.803,1,-3.599,0,0.213,0.0124,1.61e-06,0.737,0.657,92.134,audio_features,0l0CvurVUrr2w3Jj1hOVFc,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,213507,4
Shut up My Moms Calling,90,Hotel Ugly,73,Shut up My Moms Calling,164571,spotify:track:3hxIUxnT27p5WcmjGUXNwx,0.485,0.409,9,-10.711,0,0.101,0.325,0.0,0.103,0.376,138.419,audio_features,3hxIUxnT27p5WcmjGUXNwx,spotify:track:3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/tracks/3hxIUxnT27p5WcmjGUXNwx,https://api.spotify.com/v1/audio-analysis/3hxIUxnT27p5WcmjGUXNwx,164571,4
abcdefu,84,GAYLE,65,abcdefu,168601,spotify:track:4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,audio_features,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,168602,4
In Ha Mood,82,Ice Spice,79,In Ha Mood,129360,spotify:track:0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,audio_features,0yUaLqhsVsguBpoOPL4cO7,spotify:track:0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/tracks/0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/audio-analysis/0yUaLqhsVsguBpoOPL4cO7,129362,4
Just Wanna Rock,88,Lil Uzi Vert,87,Just Wanna Rock,123890,spotify:track:4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,4FyesJzVpA39hbYvcseO2d,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4
Fast Track,44,Will Ryte,39,Fast Track,101538,spotify:track:2vRFSkJHOudg2ejPgufbCi,0.706,0.766,11,-6.654,1,0.0391,0.137,0.0,0.107,0.334,91.006,audio_features,2vRFSkJHOudg2ejPgufbCi,spotify:track:2vRFSkJHOudg2ejPgufbCi,https://api.spotify.com/v1/tracks/2vRFSkJHOudg2ejPgufbCi,https://api.spotify.com/v1/audio-analysis/2vRFSkJHOudg2ejPgufbCi,101538,4
Human,83,Rag'n'Bone Man,66,Human (Deluxe),200186,spotify:track:58zsLZPvfflaiIbNWoA22O,0.602,0.707,9,-4.097,1,0.302,0.393,0.0,0.165,0.554,75.087,audio_features,58zsLZPvfflaiIbNWoA22O,spotify:track:58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/tracks/58zsLZPvfflaiIbNWoA22O,https://api.spotify.com/v1/audio-analysis/58zsLZPvfflaiIbNWoA22O,200187,4
SNAP,22,Rosa Linn,70,SNAP,179551,spotify:track:0QPRDC97rIQB3Jh3hrVJoH,0.563,0.639,0,-8.205,1,0.0684,0.107,1.06e-05,0.446,0.518,169.985,audio_features,0QPRDC97rIQB3Jh3hrVJoH,spotify:track:0QPRDC97rIQB3Jh3hrVJoH,https://api.spotify.com/v1/tracks/0QPRDC97rIQB3Jh3hrVJoH,https://api.spotify.com/v1/audio-analysis/0QPRDC97rIQB3Jh3hrVJoH,179551,4
Betty (Get Money),75,Yung Gravy,68,Betty (Get Money),146470,spotify:track:4cacyP5c3PMlfnyjpg13xW,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,audio_features,4cacyP5c3PMlfnyjpg13xW,spotify:track:4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/tracks/4cacyP5c3PMlfnyjpg13xW,https://api.spotify.com/v1/audio-analysis/4cacyP5c3PMlfnyjpg13xW,146471,4
"Shakira: Bzrp Music Sessions, Vol. 53",92,Bizarrap,85,"Shakira: Bzrp Music Sessions, Vol. 53",214945,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,122.104,audio_features,4nrPB8O7Y7wsOCJdgXkthe,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/tracks/4nrPB8O7Y7wsOCJdgXkthe,https://api.spotify.com/v1/audio-analysis/4nrPB8O7Y7wsOCJdgXkthe,218289,4
Loser,45,Boostereo,50,Loser,198000,spotify:track:7lILHlOvIjJ3MSFbuoLblW,0.657,0.869,8,-4.843,0,0.0759,0.0874,6.01e-05,0.102,0.698,104.959,audio_features,7lILHlOvIjJ3MSFbuoLblW,spotify:track:7lILHlOvIjJ3MSFbuoLblW,https://api.spotify.com/v1/tracks/7lILHlOvIjJ3MSFbuoLblW,https://api.spotify.com/v1/audio-analysis/7lILHlOvIjJ3MSFbuoLblW,198000,4
Whisper - Nander Remix,48,Able Heart,49,Whisper (Nander Remix),157364,spotify:track:0fhOxwnmDYlhN6ccDwI86G,0.65,0.896,7,-6.039,1,0.0688,0.00174,0.00241,0.23,0.313,119.928,audio_features,0fhOxwnmDYlhN6ccDwI86G,spotify:track:0fhOxwnmDYlhN6ccDwI86G,https://api.spotify.com/v1/tracks/0fhOxwnmDYlhN6ccDwI86G,https://api.spotify.com/v1/audio-analysis/0fhOxwnmDYlhN6ccDwI86G,157365,4
"Hey, Mickey!",81,Baby Tate,66,"Hey, Mickey!",115555,spotify:track:3RKjTYlQrtLXCq5ncswBPp,0.912,0.507,2,-11.952,1,0.0587,0.579,0.0,0.167,0.725,134.978,audio_features,3RKjTYlQrtLXCq5ncswBPp,spotify:track:3RKjTYlQrtLXCq5ncswBPp,https://api.spotify.com/v1/tracks/3RKjTYlQrtLXCq5ncswBPp,https://api.spotify.com/v1/audio-analysis/3RKjTYlQrtLXCq5ncswBPp,115556,4
Envolver,78,Anitta,76,Envolver,193805,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,audio_features,3IAfUEeaXRX9s9UdKOJrFI,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,https://api.spotify.com/v1/tracks/3IAfUEeaXRX9s9UdKOJrFI,https://api.spotify.com/v1/audio-analysis/3IAfUEeaXRX9s9UdKOJrFI,193806,4
Circles,90,Post Malone,87,Hollywood's Bleeding,215280,spotify:track:21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4
Edamame,51,HALO,47,Edamame,120000,spotify:track:4RG0VMPOZhil3rdqEEoV95,0.782,0.844,0,-5.705,1,0.0991,0.0886,0.0,0.304,0.633,114.957,audio_features,4RG0VMPOZhil3rdqEEoV95,spotify:track:4RG0VMPOZhil3rdqEEoV95,https://api.spotify.com/v1/tracks/4RG0VMPOZhil3rdqEEoV95,https://api.spotify.com/v1/audio-analysis/4RG0VMPOZhil3rdqEEoV95,120000,4
INDUSTRY BABY (feat. Jack Harlow),84,Lil Nas X,76,INDUSTRY BABY (feat. Jack Harlow),212000,spotify:track:27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,audio_features,27NovPIUIRrOZoCHxABJwK,spotify:track:27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/tracks/27NovPIUIRrOZoCHxABJwK,https://api.spotify.com/v1/audio-analysis/27NovPIUIRrOZoCHxABJwK,212000,4
Icy,41,Will Ryte,39,Icy,115050,spotify:track:6hGswOd1p5Pzv57IpBUhV3,0.807,0.565,7,-8.2,0,0.129,0.486,0.0,0.104,0.356,99.999,audio_features,6hGswOd1p5Pzv57IpBUhV3,spotify:track:6hGswOd1p5Pzv57IpBUhV3,https://api.spotify.com/v1/tracks/6hGswOd1p5Pzv57IpBUhV3,https://api.spotify.com/v1/audio-analysis/6hGswOd1p5Pzv57IpBUhV3,115050,4
Made You Look,88,Meghan Trainor,76,Takin' It Back,134256,spotify:track:0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4
Watch This - ARIZONATEARS Pluggnb Remix,88,Lil Uzi Vert,87,Watch This (ARIZONATEARS Pluggnb Remix),163139,spotify:track:0FA4wrjDJvJTTU8AepZTup,0.686,0.897,11,-7.18,0,0.0386,0.0103,0.103,0.153,0.355,129.975,audio_features,0FA4wrjDJvJTTU8AepZTup,spotify:track:0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/tracks/0FA4wrjDJvJTTU8AepZTup,https://api.spotify.com/v1/audio-analysis/0FA4wrjDJvJTTU8AepZTup,163139,4
Yellow,93,Coldplay,87,Parachutes,266773,spotify:track:3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,audio_features,3AJwUDP919kvQ9QcozQPxg,spotify:track:3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/tracks/3AJwUDP919kvQ9QcozQPxg,https://api.spotify.com/v1/audio-analysis/3AJwUDP919kvQ9QcozQPxg,266773,4
Just A Cloud Away,69,Pharrell Williams,78,Just A Cloud Away,176078,spotify:track:0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2,-8.155,1,0.0359,0.432,0.0,0.11,0.677,112.555,audio_features,0DGTcMqvVR7fmBXgiG6jz4,spotify:track:0DGTcMqvVR7fmBXgiG6jz4,https://api.spotify.com/v1/tracks/0DGTcMqvVR7fmBXgiG6jz4,https://api.spotify.com/v1/audio-analysis/0DGTcMqvVR7fmBXgiG6jz4,176078,3
Cooped Up (with Roddy Ricch),71,Post Malone,87,Cooped Up,185857,spotify:track:7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,0.377,93.923,audio_features,7DwcBgdzqhFJltEaV1XF81,spotify:track:7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/tracks/7DwcBgdzqhFJltEaV1XF81,https://api.spotify.com/v1/audio-analysis/7DwcBgdzqhFJltEaV1XF81,185857,4
What is love,54,Niteblue,50,What is love,145440,spotify:track:4SNpwtOjeIruM6IwqXiGEH,0.656,0.892,1,-7.022,1,0.035,0.0119,0.0,0.167,0.186,125.035,audio_features,4SNpwtOjeIruM6IwqXiGEH,spotify:track:4SNpwtOjeIruM6IwqXiGEH,https://api.spotify.com/v1/tracks/4SNpwtOjeIruM6IwqXiGEH,https://api.spotify.com/v1/audio-analysis/4SNpwtOjeIruM6IwqXiGEH,145440,4
Afraid To Feel,83,LF SYSTEM,62,Afraid To Feel,177524,spotify:track:40SBS57su9xLiE1WqkXOVr,0.578,0.912,1,-3.929,1,0.114,0.0166,0.00362,0.273,0.68,127.87,audio_features,40SBS57su9xLiE1WqkXOVr,spotify:track:40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/tracks/40SBS57su9xLiE1WqkXOVr,https://api.spotify.com/v1/audio-analysis/40SBS57su9xLiE1WqkXOVr,177525,4
TO THE MOON,74,JNR CHOI,53,TO THE MOON,152137,spotify:track:5vUnjhBzRJJIAOJPde6zDx,0.745,0.65,2,-11.814,1,0.346,0.0451,0.00758,0.111,0.386,144.047,audio_features,5vUnjhBzRJJIAOJPde6zDx,spotify:track:5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/tracks/5vUnjhBzRJJIAOJPde6zDx,https://api.spotify.com/v1/audio-analysis/5vUnjhBzRJJIAOJPde6zDx,152137,4
Bam Bam (feat. Ed Sheeran),80,Camila Cabello,78,Familia,206070,spotify:track:2DB4DdfCFMw1iaR6JaR03a,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996,audio_features,2DB4DdfCFMw1iaR6JaR03a,spotify:track:2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/tracks/2DB4DdfCFMw1iaR6JaR03a,https://api.spotify.com/v1/audio-analysis/2DB4DdfCFMw1iaR6JaR03a,206071,4
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",73,Sofía Reyes,68,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,audio_features,4QtiVmuA88tPQiCOHZuQ5b,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/tracks/4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/audio-analysis/4QtiVmuA88tPQiCOHZuQ5b,201526,4
What You Do To Me,63,Lucas Estrada,64,What You Do To Me,154209,spotify:track:74Sk5cVfVNhfKY9S7hDqrp,0.621,0.824,3,-6.266,0,0.0402,0.00643,0.00237,0.188,0.374,124.059,audio_features,74Sk5cVfVNhfKY9S7hDqrp,spotify:track:74Sk5cVfVNhfKY9S7hDqrp,https://api.spotify.com/v1/tracks/74Sk5cVfVNhfKY9S7hDqrp,https://api.spotify.com/v1/audio-analysis/74Sk5cVfVNhfKY9S7hDqrp,154209,4
Late Night Talking,90,Harry Styles,86,Harry's House,177954,spotify:track:1qEmFfgcLObUfQm0j1W2CK,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,audio_features,1qEmFfgcLObUfQm0j1W2CK,spotify:track:1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/tracks/1qEmFfgcLObUfQm0j1W2CK,https://api.spotify.com/v1/audio-analysis/1qEmFfgcLObUfQm0j1W2CK,177955,4
Bad Habits,30,Ed Sheeran,88,Bad Habits,231041,spotify:track:6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,audio_features,6PQ88X9TkUIAUIZJHW2upE,spotify:track:6PQ88X9TkUIAUIZJHW2upE,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,https://api.spotify.com/v1/audio-analysis/6PQ88X9TkUIAUIZJHW2upE,231041,4
Cold Heart - PNAU Remix,74,Elton John,81,The Lockdown Sessions,202735,spotify:track:7rglLriMNBPAyuJOMGwi39,0.795,0.8,1,-6.32,1,0.0309,0.0354,7.25e-05,0.0915,0.934,116.032,audio_features,7rglLriMNBPAyuJOMGwi39,spotify:track:7rglLriMNBPAyuJOMGwi39,https://api.spotify.com/v1/tracks/7rglLriMNBPAyuJOMGwi39,https://api.spotify.com/v1/audio-analysis/7rglLriMNBPAyuJOMGwi39,202735,4
MAMIII,81,Becky G,78,MAMIII,226088,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,4,-3.563,0,0.0803,0.0934,0.0,0.14,0.899,93.991,audio_features,1ri9ZUkBJVFUdgwzCnfcYs,spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/tracks/1ri9ZUkBJVFUdgwzCnfcYs,https://api.spotify.com/v1/audio-analysis/1ri9ZUkBJVFUdgwzCnfcYs,226088,4
Alive,47,HALO,47,Alive,173333,spotify:track:2JvH9vZaJqBL0osTCguf1G,0.548,0.682,11,-6.705,1,0.17,0.148,0.0,0.267,0.416,126.091,audio_features,2JvH9vZaJqBL0osTCguf1G,spotify:track:2JvH9vZaJqBL0osTCguf1G,https://api.spotify.com/v1/tracks/2JvH9vZaJqBL0osTCguf1G,https://api.spotify.com/v1/audio-analysis/2JvH9vZaJqBL0osTCguf1G,173333,4
Outlaw,52,KALUMA,50,Outlaw,130662,spotify:track:0D0JIri7wJvhKUfmB7u6Sv,0.731,0.664,5,-6.397,0,0.083,0.0654,0.0,0.486,0.367,125.928,audio_features,0D0JIri7wJvhKUfmB7u6Sv,spotify:track:0D0JIri7wJvhKUfmB7u6Sv,https://api.spotify.com/v1/tracks/0D0JIri7wJvhKUfmB7u6Sv,https://api.spotify.com/v1/audio-analysis/0D0JIri7wJvhKUfmB7u6Sv,130663,4
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),80,Amaarae,65,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763,spotify:track:09gysnJpfQ3ublBmJDfcEC,0.87,0.523,1,-8.052,0,0.0602,0.433,2.07e-05,0.113,0.319,110.02,audio_features,09gysnJpfQ3ublBmJDfcEC,spotify:track:09gysnJpfQ3ublBmJDfcEC,https://api.spotify.com/v1/tracks/09gysnJpfQ3ublBmJDfcEC,https://api.spotify.com/v1/audio-analysis/09gysnJpfQ3ublBmJDfcEC,204764,4
love nwantiti (ah ah ah),84,CKay,69,CKay The First,145800,spotify:track:2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,audio_features,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/audio-analysis/2Xr1dTzJee307rmrkt8c0g,145800,4
THATS WHAT I WANT,85,Lil Nas X,76,MONTERO,143901,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,audio_features,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/audio-analysis/0e8nrvls4Qqv5Rfa2UhqmO,143901,4
Downfalls,41,Cally Rhodes,28,Downfalls,190200,spotify:track:1jspFjbQkp21v5kDx4V4jR,0.803,0.711,9,-5.841,0,0.0849,0.0191,1.95e-05,0.0892,0.778,119.978,audio_features,1jspFjbQkp21v5kDx4V4jR,spotify:track:1jspFjbQkp21v5kDx4V4jR,https://api.spotify.com/v1/tracks/1jspFjbQkp21v5kDx4V4jR,https://api.spotify.com/v1/audio-analysis/1jspFjbQkp21v5kDx4V4jR,190200,4
Miss You,87,Oliver Tree,73,Miss You,206000,spotify:track:73vIOb4Q7YN6HeJTbscRx5,0.587,0.742,6,-6.64,0,0.0529,0.0128,0.00107,0.146,0.199,145.007,audio_features,73vIOb4Q7YN6HeJTbscRx5,spotify:track:73vIOb4Q7YN6HeJTbscRx5,https://api.spotify.com/v1/tracks/73vIOb4Q7YN6HeJTbscRx5,https://api.spotify.com/v1/audio-analysis/73vIOb4Q7YN6HeJTbscRx5,206000,4
Build a Bitch,76,Bella Poarch,62,Build a Bitch,122772,spotify:track:7BoobGhD4x5K96Me0hqC8Q,0.855,0.463,3,-7.454,1,0.0367,0.217,1.77e-05,0.347,0.866,102.931,audio_features,7BoobGhD4x5K96Me0hqC8Q,spotify:track:7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/tracks/7BoobGhD4x5K96Me0hqC8Q,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q,122773,4
Lost,0,Frank Ocean,81,channel ORANGE,234093,spotify:track:1bjhYUwKUHEg5fHknxFObO,0.912,0.594,10,-4.894,0,0.226,0.0319,0.00122,0.123,0.514,123.07,audio_features,1bjhYUwKUHEg5fHknxFObO,spotify:track:1bjhYUwKUHEg5fHknxFObO,https://api.spotify.com/v1/tracks/1bjhYUwKUHEg5fHknxFObO,https://api.spotify.com/v1/audio-analysis/1bjhYUwKUHEg5fHknxFObO,234093,4
