artist,title,album,length,popularity,id
Rosa Linn,SNAP,SNAP,179551,22,0QPRDC97rIQB3Jh3hrVJoH
Yung Gravy,Betty (Get Money),Betty (Get Money),146470,75,4cacyP5c3PMlfnyjpg13xW
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",214945,92,4nrPB8O7Y7wsOCJdgXkthe
Boostereo,Loser,Loser,198000,45,7lILHlOvIjJ3MSFbuoLblW
Able Heart,Whisper - Nander Remix,Whisper (Nander Remix),157364,47,0fhOxwnmDYlhN6ccDwI86G
Baby Tate,"Hey, Mickey!","Hey, Mickey!",115555,81,3RKjTYlQrtLXCq5ncswBPp
Anitta,Envolver,Envolver,193805,78,3IAfUEeaXRX9s9UdKOJrFI
Post Malone,Circles,Hollywood's Bleeding,215280,90,21jGcNKet2qwijlDFuPiPb
HALO,Edamame,Edamame,120000,51,4RG0VMPOZhil3rdqEEoV95
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),212000,84,27NovPIUIRrOZoCHxABJwK
Will Ryte,Icy,Icy,115050,41,6hGswOd1p5Pzv57IpBUhV3
Meghan Trainor,Made You Look,Takin' It Back,134256,88,0QHEIqNKsMoOY5urbzN48u
Lil Uzi Vert,Watch This - ARIZONATEARS Pluggnb Remix,Watch This (ARIZONATEARS Pluggnb Remix),163139,88,0FA4wrjDJvJTTU8AepZTup
Coldplay,Yellow,Parachutes,266773,93,3AJwUDP919kvQ9QcozQPxg
Pharrell Williams,Just A Cloud Away,Just A Cloud Away,176078,69,0DGTcMqvVR7fmBXgiG6jz4
Post Malone,Cooped Up (with Roddy Ricch),Cooped Up,185857,71,7DwcBgdzqhFJltEaV1XF81
Niteblue,What is love,What is love,145440,54,4SNpwtOjeIruM6IwqXiGEH
LF SYSTEM,Afraid To Feel,Afraid To Feel,177524,83,40SBS57su9xLiE1WqkXOVr
JNR CHOI,TO THE MOON,TO THE MOON,152137,74,5vUnjhBzRJJIAOJPde6zDx
Camila Cabello,Bam Bam (feat. Ed Sheeran),Familia,206070,80,2DB4DdfCFMw1iaR6JaR03a
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",201526,73,4QtiVmuA88tPQiCOHZuQ5b
Lucas Estrada,What You Do To Me,What You Do To Me,154209,63,74Sk5cVfVNhfKY9S7hDqrp
Harry Styles,Late Night Talking,Harry's House,177954,90,1qEmFfgcLObUfQm0j1W2CK
Ed Sheeran,Bad Habits,Bad Habits,231041,30,6PQ88X9TkUIAUIZJHW2upE
Elton John,Cold Heart - PNAU Remix,The Lockdown Sessions,202735,74,7rglLriMNBPAyuJOMGwi39
Becky G,MAMIII,MAMIII,226088,81,1ri9ZUkBJVFUdgwzCnfcYs
HALO,Alive,Alive,173333,47,2JvH9vZaJqBL0osTCguf1G
KALUMA,Outlaw,Outlaw,130662,52,0D0JIri7wJvhKUfmB7u6Sv
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),204763,80,09gysnJpfQ3ublBmJDfcEC
CKay,love nwantiti (ah ah ah),CKay The First,145800,84,2Xr1dTzJee307rmrkt8c0g
Lil Nas X,THATS WHAT I WANT,MONTERO,143901,85,0e8nrvls4Qqv5Rfa2UhqmO
Cally Rhodes,Downfalls,Downfalls,190200,41,1jspFjbQkp21v5kDx4V4jR
Oliver Tree,Miss You,Miss You,206000,87,73vIOb4Q7YN6HeJTbscRx5
Bella Poarch,Build a Bitch,Build a Bitch,122772,76,7BoobGhD4x5K96Me0hqC8Q
Frank Ocean,Lost,channel ORANGE,234093,0,1bjhYUwKUHEg5fHknxFObO
Duke & Jones,Jiggle Jiggle,Jiggle Jiggle,97208,70,1I4lCSP69P74nU3a6Su5L2
99 Percent,Can't Help Myself,Can't Help Myself,154754,49,2yicVJl6Tv5Nmb3FiJEb8S
Oliver Tree,Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",161803,78,0eu4C55hL6x29mmeAjytzC
Trinidad Cardona,Dinero,Dinero,160880,72,3ggtU1ZOKO8ZNiqPNyXGcm
mavzy grx,Naughty Girl,Naughty Girl,113280,44,6VtJWMy5bhOHAAy4Yakvk4
SZA,I Hate U,I Hate U,174000,74,5dXWFMwD7I7zXsInONVl0H
Doja Cat,Woman,Planet Her,172626,88,6Uj1ctrBOjOas8xZXGqKk4
Bruno Mars,Leave The Door Open,Leave The Door Open,242096,11,7MAibcTli4IisCtbHKrGMh
